Feature_ID	Feature	Possible Values	Value	Source	Comment	Contributed_datapoints	Clarifying comments	Relevant unit(s)	Function	Form	Patron	wiki_summary
GB020	Are there definite or specific articles?	1: present, 0: absent	NA	NA	NA	NA	"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term identifiability. Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both a non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not to be similar in formal expression or position.

A formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone.
Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain contexts that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases that it is necessary to investigate whether the marker can occur independently or not; if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns and demonstratives, and also with classifiers."	article, NP, demonstrative	definiteness, deixis	declension, particle, paradigm	Jay/Jeremy	"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term ""identifiability"". Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both a non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not to be similar in formal expression or position.    A formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone.  Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain contexts that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases that it is necessary to investigate whether the marker can occur independently or not; if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns and demonstratives, and also with classifiers.       Procedure  1. Code 1 if there is a conventionalised way of marking definiteness or specificity without marking spatial location, and if there is evidence that the marker in question is different in form from the spatial deictic demonstratives (e.g. ‘the’ is different from ‘that’).    2. If no such marker is given, write ‘Not mentioned’ in the comment and code 0 if other demonstratives have been covered, otherwise code ‘?’.           Examples     **Aiton** (ISO 639-3: aio, Glottolog: aito1238)     Morey 2005:244-245, Coded 1:  ```   mə    nan    a māt     nɛ   wā   time  that   minister  DEF  say    ‘Then the minister said.’    ```  **Buwal**  (ISO 639-3: bhs, Glottocode: buwa1243)     Viljoen 2013:234-242, Coded 1:    There is an indefinite and definite determiner, the definite determiner acts like a definite article.  ```  Ma      ŋga     tekeɗ       anta         vayay ?  mā      ŋgā     tēkēɗ       āntā         vájáj  REL=    break   calabash  DEF.DET         who  ‘Who broke the calabash?’    ```    **Ganda** (ISO 639-3:lug, Glottocode: gand1255)     Crabtree 1902: 149, Coded 1:    If a noun is modified by a numeral lower than 5, definiteness can be marked by adding an initial vowel (IV) to the numeral. This initial vowel is omitted if noun phrase reference is indefinite.       Further reading  Matthew S. Dryer. 2013. Definite Articles. In: Dryer, Matthew S. & Haspelmath, Martin (eds.)   The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. [Link](https://wals.info/chapter/37)   Related Features  * [GB021: Do indefinite nominals commonly have indefinite articles?](https://github.com/glottobank/Grambank/wiki/GB021)  * [GB022: Are there prenominal articles?](https://github.com/glottobank/Grambank/wiki/GB022)  * [GB023: Are there postnominal articles?](https://github.com/glottobank/Grambank/wiki/GB023)"
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	NA	NA	NA	NA	In this question, we need explicit support that indefinite NPs do/do not commonly occur with an indefinite/non-specific article. Indefinite articles can be homophonous with demonstratives, the numeral 'one' or classifiers.	article, NP, demonstrative	definiteness, deixis	declension, particle, paradigm	Jay/Jeremy	"In this question, we need explicit support that indefinite NPs do/do not commonly occur with an indefinite/non-specific article. Indefinite articles can be homophonous with demonstratives, the numeral 'one' or classifiers.     Procedure  1. Code 1 if indefinite NPs commonly occur with an indefinite/non-specific article. Three or more examples are sufficient.  2. If there is are sufficient amounts of examples of indefinite NPs occurring without an article, then give the page references and code 0.     Examples      **North Ambrym** (ISO 639-3: mmg, Glottolog: nort2839)    Franjieh 2012: 94,  Coded 1:    Indefinite specific is marked by the numeral one and indefinite non-specific is marked by the numeral one and a non-specific marker.  ```   Te   moro          sene   tiese   hu    byanen  conj  rec.pst.3dl   give   piglet  ind   go.tr.3sg  ‘And they gave a piglet to him’  ```    **Hupdë**  (ISO 639-3: jup,  Glottolog: hupd1244)    Epps 2008:292, 306, p.c. 2009 Coded 0:    However, Epps notes that ""New participants and entities are frequently introduced into discourse with the   numeral for ‘one’.      **Guro** (ISO 639-3: goa, Glottolog: guro1248)    Kuznetsova p.c. 2013, Coded ?:    There is a marker, originating from the numeral one, that can be used as an indefinite article. It is however not known how grammaticalized this is and therefore not possible to answer for GB021.         Further reading  Matthew S. Dryer. 2013. Indefinite Articles. In: Dryer, Matthew S. & Haspelmath, Martin (eds.)   The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. [Link](https://wals.info/chapter/38)     Related Features  * [GB020: Are there definite or specific articles?](https://github.com/glottobank/Grambank/wiki/GB020)  * [GB022: Are there prenominal articles?](https://github.com/glottobank/Grambank/wiki/GB022)  * [GB023: Are there postnominal articles?](https://github.com/glottobank/Grambank/wiki/GB023)"
GB022	Are there prenominal articles?	1: present, 0: absent	NA	NA	NA	NA	All questions concerning the order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	article, NP, demonstrative	definiteness, deixis	word order, declension, particle, paradigm, prefixation	Jay/Jeremy	"All questions concerning the order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.     Procedure  1. If there are articles, code 1 if in the pragmatically unmarked order they can precede the noun.     Examples    **Ainu** (ISO 639-3: ain, Glottocode: ainu1240)    Tamura 2000:263, Coded ?:     Comes before the noun referring to the person or thing that is being discussed now. There is some resemblance to the use of definite articles in English. This word is the copula, converted to an adnominal and literally means 'the one that is'.""'      **Standard Arabic** (ISO 639-3: arb, Glottocode: stan1318)     Ryding 2005:156, Coded 1:    The definite article is prenominal and prefixes to the noun, the indefinite article   is postnominal and marked by a suffixed /-n/ sound.  ```  al-xubz    [Definite article]  def bread    'The bread'    bayt-un    [Indefinite article]  house indef  'A house'  ```     Further reading  Matthew S. Dryer. 2013. Definite Articles. In: Dryer, Matthew S. & Haspelmath, Martin (eds.)   The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. [Link](https://wals.info/chapter/37)    Matthew S. Dryer. 2013. Indefinite Articles. In: Dryer, Matthew S. & Haspelmath, Martin (eds.)   The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. [Link](https://wals.info/chapter/38)     Related Features  * [GB020: Are there definite or specific articles?](https://github.com/glottobank/Grambank/wiki/GB020)  * [GB021: Do indefinite nominals commonly have indefinite articles?](https://github.com/glottobank/Grambank/wiki/GB021)  * [GB023: Are there postnominal articles?](https://github.com/glottobank/Grambank/wiki/GB023)"
GB023	Are there postnominal articles?	1: present, 0: absent	NA	NA	NA	NA	All questions concerning the order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	article, NP, demonstrative	definiteness, deixis	word order, declension, particle, paradigm, suffixation	Jay/Jeremy	"All questions concerning the order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.     Procedure  1. If there are articles, code 1 if in the pragmatically unmarked order they follow the noun.  		   Examples      **Standard Arabic** (ISO 639-3: arb, Glottocode: stan1318)    Ryding 2005: 156, Coded 1:    The definite article is prenominal and prefixes to the noun, the indefinite article is postnominal and marked by a suffixed /-n/ sound.  ```  al-xubz    [Definite article]  def bread    'The bread'    bayt-un    [Indefinite article]  house indef  'A house'  ```    **Lozi** (ISO 639-3: loz, Glottocode: lozi1239)     Fortune 2001: 6-105, Coded 0:    Not explicitly mentioned, but the example sentences never show articles and other demonstratives are covered in the grammar.     **Lunda** (ISO 639-3: lun, Glottocode: lund1266)     Kawasha 2003: 132, Coded ?:    Indefiniteness can be expressed with a quantifier, but it is not clear how far this marker has grammaticalized to be a dedicated or sufficiently obligatory indefiniteness marker.     Further reading  Matthew S. Dryer. 2013. Definite Articles. In: Dryer, Matthew S. & Haspelmath, Martin (eds.)   The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. [Link](https://wals.info/chapter/37)    Matthew S. Dryer. 2013. Indefinite Articles. In: Dryer, Matthew S. & Haspelmath, Martin (eds.)   The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. [Link](https://wals.info/chapter/38)     Related Features  * [GB020: Are there definite or specific articles?](https://github.com/glottobank/Grambank/wiki/GB020)  * [GB021: Do indefinite nominals commonly have indefinite articles?](https://github.com/glottobank/Grambank/wiki/GB021)  * [GB022: Are there prenominal articles?](https://github.com/glottobank/Grambank/wiki/GB022)"
GB024	What is the order of numeral and noun in the NP?	multistate 1: Num-N; 2: N-Num; 3: both.					Consider cardinal numerals only (i.e., not ordinal numerals). It does not matter what kind of construction is required (e.g., attributive 'two books' or relative 'books that are two') or what word class the root or modifying form of that the cardinal numerals belong to, i.e., 'two-ing books' (verb) or 'two-some books' (noun) apply to this question. If some numerals go before the noun and some go after, code 3 (both orders). If there is a free choice where to place the numeral, code 3 (both orders) as well. If the order depends on some other grammatical category which is neutral with respect to pragmaticality (e.g. definiteness), code 3. If the order depends on the noun consider the order(s) that applies to an open class of nouns.	numeral, NP	quantification, attribution	word order	Hannah	"Consider cardinal numerals only (i.e., not ordinal numerals). It does not matter what kind of construction is required (e.g., attributive 'two books' or relative 'books that are two') or what word class the root or modifying form of that the cardinal numerals belong to, i.e., 'two-ing books' (verb) or 'two-some books' (noun) apply to this question. If some numerals go before the noun and some go after, code 3 (both orders). If there is a free choice where to place the numeral, code 3 (both orders) as well. If the order depends on some other grammatical category which is neutral with respect to pragmaticality (e.g. definiteness), code 3. If the order depends on the noun consider the order(s) that applies to an open class of nouns.     Procedure  1. Consider only phrases that X (numeral) units of Y (noun) in their pragmatically neutral form.  2. If the numeral always precedes the noun code 1, if the numeral always follows the noun, code 2.  3. If a closed class of nouns require a different order than an open class, disregard the closed class, but otherwise if both orders occur, that is if some numerals precede and some follow, or there is a free choice or there is a choice depending on some other factor (e.g., definiteness), then code 3.     Available standardised comments  * Not mentioned	   * Mostly numeral-noun with a few exceptions	   * Mostly noun-numeral with a few exceptions	   * Either order occurs with any numeral			     Examples  The following is an example where both orders occur, depending on the numeral.    ‘[W]hereas adjectives postmodify nouns, numbers and quantifiers premodify the classifier, or, if its a noun that can be counted, the noun.  Therefore (60) is grammatical in Tai and (61) is not:  (60) two day  ‘two days’  (61) *day two ‘two days’  The only exception to this is ‘one’, which together with demonstratives postmodifies the classifier or noun.’ (Morey 2005:240-1).  Coded by Jeremy as 3, because both orderings occur.     Further reading  This feature is akin to WALS 89: http://wals.info/chapter/89. Matthew Dryer has written a paper remarking on  the distribution of noun-numeral order in Africa (among other nominal modifiers).     Dryer, Matthew S. 2011. Noun-Modifier Order in Africa. In Geographical Typology and Linguistic Areas. With special reference to Africa. Osamu Hieda, Christa König, and Hirosi Nakagawa (eds). 287-311. Amsterdam/Philadephia: John Benjamins     Related Features  GB193 What is the order of adnominal property word and noun?"
GB025	What is the order of adnominal demonstrative and noun?	multistate 1: Dem-N; 2: N-Dem; 3: both.	NA	NA	NA	NA	Like all questions concerning the order of elements, only the pragmatically unmarked orders are targeted.	demonstrative, NP	deixis, attribution	word order	Jay/Jeremy	"Like all questions concerning the order of elements, only the pragmatically unmarked orders are targeted.     Procedure  1. In the pragmatically unmarked order, if the demonstrative precedes the noun, code 1.  2. In the pragmatically unmarked order, if the demonstrative follows the noun, code 2.  3. If both occur, for example, if some demonstratives precede and some follow, or there is a free choice, then code 3.         Available standardised comments  * Not mentioned	   * Different demonstratives take different orders	   * There is free variation	   * Demonstrative construction has a form both before and after the noun	   * Demonstratives are treated as suffixes	   * Demonstratives are treated as prefixes	   	     Examples    **Djeebbana** (ISO 639-3: djj, Glottocode: djee1236)    McKay 2000: 216-217, coded 1:  ```  Ma-ngudjeya-yiberra  barreya     barra-kkudja-nga   MlNIMP·tell-3AUGDAT  those3AUG   3AUGS-be.in.group-REM  You tell that mob sitting there.   ```   Further reading  Matthew S. Dryer. 2013. Order of Demonstrative and Noun. In: Dryer, Matthew S. & Haspelmath, Martin (eds.)   The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. [Link](https://wals.info/chapter/88)     Related Features  * [GB024: What is the order of numeral and noun in the NP?](https://github.com/glottobank/Grambank/wiki/GB024)    * [GB193: What is the order of adnominal property word and noun?](https://github.com/glottobank/Grambank/wiki/GB193)"
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent					This means that a restrictively interpreted adjective is separated from the noun by some element that is not part of the nominal. For example, can you say The man is running big and the like to mean The big man is running. Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent (i.e. the Australian type). NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here. This features aims to capture NPs where the head and modifiers can be separated. Examples of the type I painted the house red or I saw the boy big are not necessarily discontinuous, but most likely resultative or contrastive (I saw the boy big [as opposed to before when he was small]).	adjective, clause, NP	attribution	word order, special construction	Hannah	"This means that a restrictively interpreted adjective is separated from the noun by some element that is not part of the nominal. For example, can you say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent (i.e. the ""Australian type""). NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here. This features aims to capture NPs where the head and modifiers can be separated. Examples of the type ""I painted the house red"" or ""I saw the boy big"" are not necessarily discontinuous, but most likely resultative or contrastive (""I saw the boy big [as opposed to before when he was small]"").     Procedure  1. Code 1 if there any sentences illustrating noun phrases where the modifier is separated from the noun that it modifies, such as ‘The man is running big’ to mean ‘The big man is running.’  2. Ignore sentences which may be resultatives such as ‘I painted the house red’ or contrastives such as ‘I saw the boy big’ (when he was an adult).  3. If this feature is not mentioned and there are no such sentences, code 0.  4. If there is an extensive agreement system, try to find out further whether these noun phrases exist even if they are not mentioned in the grammar.         Available standardised comments  * Not mentioned     Examples  Examples:  Maung  Coded in NTS as 1.  Coder’s comment: ‘(3-28)||Yungku marrik manga-niki-ng mata ma-lakpi.||firewood(VE) NEG 3GEN/3VE-carry-I1 VE VE-heavy||||She shouldn't carry heavy firewood.||HH Text 4:48’    Atampaya  ‘(89b) ulu           ana-n      ayparumpiwa            3sg-NOM go-PAST sparrowhawk-ABS            The sparrowhawk went along  [...] These should be regarded as stylistic variants about which the present writer is in position to say little.  Order changes appear to be a feature of narrative discourse when a speaker ‘recaps’ the participants in the previous clause.’  (Crowley 1983:369).  Coded in NTS as ‘?’.  Coder’s comment: ‘Well it is common for a free pronoun to be the first element of the clause and a coreferent nominal may follow the verb (see (89b), p.369). However, Crowley describes this construction as an afterthought construction in which case these are not discontinuous NPs. However, such cases seem so common in the data it is questionable whether they really are all afterthoughts.’  This is a possibly erroneous coding as the sentence in question does not contain a modifier.     Further reading  A classic re the Australian languages of this kind is Hale (1983). Discontinuous NP also occur in some classical IE languages (Greek, Sanskrit etc) and probably there are things written specifically about discontinuous NPs too.    Hale, Kenneth. (1983) Warlpiri and the Grammar of Non-Configurational Languages.  Natural Language and Linguistic Theory 1. 5-47.     Related Features    GB193: What is the order of adnominal property word and noun?"
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent					Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John with Mary went to market')? This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent). In some languages the only way to do nominal coordination is with a comitative phrase, i.e., the only way to say X and Y is to say X with Y. This feature aims to capture such languages (which, as they have no difference between coordination and comitatives for nouns, get a 0). To see whether an element is comitative or coordinating check for case marking, agreement etc. For example, if X is the element in question and in the dative you get 'John-DAT X Mary-DAT' then X is likely coordinating, while if you get John-DAT X Mary then X is likely comitative. Or with agreement, if you get 'John X Mary verb-PL' rather than 'John X Mary verb-SG' (just like 'John X suitcase verb-SG') then that suggests X is likely coordinating.	adposition, case marker, NP	argument marking, oblique, conjunction, coordination, case marking, comitative	declension, flagging	Hedvig	Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John with Mary went to market')? This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent). In some languages the only way to do nominal coordination is with a comitative phrase, i.e., the only way to say X and Y is to say X with Y. This feature aims to capture such languages (which, as they have no difference between coordination and comitatives for nouns, get a 0). To see whether an element is comitative or coordinating check for case marking, agreement etc. For example, if X is the element in question and in the dative you get 'John-DAT X Mary-DAT' then X is likely coordinating, while if you get John-DAT X Mary then X is likely comitative. Or with agreement, if you get 'John X Mary verb-PL' rather than 'John X Mary verb-SG' (just like 'John X suitcase verb-SG') then that suggests X is likely coordinating.     Procedure  1. Code 1 if there is an example of NP coordination such as ‘John and Mary went to the market’ which uses an element that is distinct from ‘with’.    2. Look for this in example sentences and appendixed text as well.     Examples  **Turkish** used to be a language with only comitatives for NP coordination namely the -le/la marker as in 'Mary-le John' but Modern Turkish also has the borrowed ve 'and' so one can now also 'John ve Mary'. Thus modern Turkish gets a 1 while older forms, before the borrowing, would get a 0.    **Tai Phake**  ‘Two nouns of equal status can be linked with khaa [...], as in example (69):  69) day 22 February mother and father and travel Gaya  ‘May mother and father will go to Budhagaya on the 22nd of February.’’  ‘Banchob (1987) identified a number of prepositions in Phake, and these are presented in Table 8.14: ca ‘for, to, with’...’  (Morey 2005:245;240)  Coded by Jeremy as 1, as these are different.    **Maale** (Ta-Ne-Omotic, mdy/male1284)  Sometimes the same element is used for coordination and comitative but with a difference in the number of times the element appears (e.g., twice for coordination and once for comitative). In such cases, code as 0 because it is nevertheless the same element (thanks Alena for the example) of Maale.    Maale marks with an instrumental/comitative *-na* every conjoined noun within a coordinated NP but uses only one *-na* for comitative (Amha 2001: 79, further examples on p. 62–63)    ```  táání    suugg-atsí   laal-éll-ó-na    (ʔá-á-nte)       zag-é-ne  1SG:NOM  chief-M:NOM  woman-F-ABS-INST (exist-IPF-TEMP) see-PF-A:DCL  'I saw the chief with the woman.' (Amha 2001: 79)    táání    suugg-atsí-na     laal-éll-ó-na      zag-é-ne  1SG:NOM  chief-M:NOM-INST  woman-F-ABS-INST   see-PF-A:DCL  'I saw the chief and the woman.'(Amha 2001: 79)  ```     Further reading  Scott Drellishak. 2004. A Survey of Coordination Strategies in the World’s Languages. University of Washington MA thesis.
GB028	Is there a distinction between inclusive and exclusive?	1: present, 0: absent	NA	NA	NA	NA	Is there a pronoun or other marker that explicitly marks the inclusion of an interlocutor? This feature is not restricted to the pronominal system but includes person indexing as well. If inclusive is marked overtly in either the pronominal system or through verbal marking this is sufficient to trigger a (1) for this feature, even if exclusive has no overt morphological marking.	pronoun, index, verb	clusivity, deixis, person, number	declension, paradigm, indexing	Hannah	Is there a pronoun or other marker that explicitly marks the inclusion of an interlocutor? This feature is not restricted to the pronominal system but includes person indexing as well. If inclusive is marked overtly in either the pronominal system or through verbal marking this is sufficient to trigger a (1) for this feature, even if exclusive has no overt morphological marking.     Procedure  1. Code 1 if there is a pronoun or other marker, such as a person index, that explicitly marks the inclusion of an interlocutor in the first person plural.       Examples    **Southern Sierra Miwok** (ISO 639-3: skd, Glottocode: sout2985)    Table 6: Personal Pronominal Suffixes:    |   | Series 1 | Series 2 | Series 3 | Series 4 |  | --- | --- | --- | --- | --- |  | 1Dinc. |   |   | -ti: | -ti: |  | 1P | -tti-/-mahhi: | -me- |   |   |  | 1Pinc. |   |   | -ticci: | -ticci: |  | 1Pexcl. |   |   | -mahhi: | -mahhi: |    (Broadbent 1964: 43)     Southern Sierra Miwok would be coded as 1. The lack of a first person dual exclusive form does not affect this designation, nor does the fact that the language has first person plural markers in Series 1 and 2 that do not mark clusivity.    **Chalcatongo Mixtec** (ISO: mig, Glottocode: sanm1295)    Table 11: Pronouns    | PERS | GENDER | FREE | CLITIC |  | --- | --- | --- | --- |  | 1 | Familiar | r&ugrave;&577;&ugrave; | =r&iacute; |  |  | Polite | na&577;a | =na |  |  | Inclusive (pl)  | &382;&oacute;&577;&oacute; | =&382;&oacute; |    (Macaulay 1996: 81)    Chalcatongo Mixtec would be coded as 1. A plural pronoun that is unmarked for clusivity can be derived from the polite or familiar first person pronouns with a prefix, but the inclusive first person is inherently plural. There is no first person plural pro-form that is marked for exclusivity. The existence of an inclusive form is sufficient to trigger a (1) and the lack of an exclusive form has no impact on this.    **Yongbei Zhuang** (ISO 639-3: zyb, Glottocode: yong1276)    Table 9.3.5: First person    | Singular | Plural (excl.) | Plural (incl.) |  | --- | --- | --- |  |ku | tuo, po tu | lau’ |    (Luo 2008: 327)    Coded by Jeremy as 1.         Further reading  Cysouw, Michael. 2003. *The Paradigmatic Structure of Person Marking*. Oxford: Oxford University Press.    Filimonova, Elena. 2005. *Clusivity: Typology and case studies of the inclusive exclusive distinction*. Amsterdam: John Benjamins Publishing.     Related Features  NA
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	NA	NA	NA	NA	This question targets the existence of a gender distinction in independent 3rd person anaphoric forms, which includes pronouns and also demonstratives. This distinction is often one of natural gender (masc./fem), but it could be animacy as well (see Corbett 1991 for further discussion of gender). For languages with no 3rd person independent pronouns a gender distinction in demonstratives would trigger a (1) here. If pronouns with inanimate referents agree with the gender/noun class of that inanimate noun that will also suffice for (1) here. If a language has a gender distinction for 3rd person pronouns but not for demonstratives, this is also sufficient for a (1) in this category.	pronoun	person, number, gender	declension, paradigm	Hannah	This question targets the existence of a gender distinction in independent 3rd person anaphoric forms, which includes pronouns and also demonstratives. This distinction is often one of natural gender (masc./fem), but it could be animacy as well (see Corbett 1991 for further discussion of gender). For languages with no 3rd person independent pronouns a gender distinction in demonstratives would trigger a (1) here. If pronouns with inanimate referents agree with the gender/noun class of that inanimate noun that will also suffice for (1) here. If a language has a gender distinction for 3rd person pronouns but not for demonstratives, this is also sufficient for a (1) in this category.     Procedure  1. If there are grammaticalised  independent pronouns which specify sex (masculine or feminine) or animacy, or agree with the gender/nounclass of the noun, code 1.  2. If there are no 3rd person demonstratives that specify sex/gender/nounclass but there are demonstratives that specify gender, code 1.  3. If neither independent 3rd person forms nor demonstratives are marked for gender, code 0.     Examples    **Kuot** (ISO 639-3: kto, Glottolog: kuot1243)    Kuot has no 3rd person pronouns (Lindstr&246;m 2002, 132). It does have demonstratives that can function as 3rd person pronouns, and these forms index masculine vs. feminine gender (Lindstr&246;m 2002: 134). Kuot would be coded 1.    **Biak** (ISO 639-3: bhw, Glottolog: biak1248)    Biak has independent 3rd person pronouns in several number categories: singular *i*, dual *su*, paucal *sko*. For only the 3rd person plural pronouns there is a distinction between animate (*si*) and inanimate (*na*) (van den Heuval 1996: 66). Biak is coded 1.    **Ingush** (ISO 639-3: inh, Glottolog: ingu1240)    Ingush 3rd person pronouns are historically related to demonstratives (Nichols 2011: 172). Neither singular nor plural 3rd person pronouns index gender (including animacy, noun class, etc.) (Nichols 2011: 174). Ingush is coded 0.       Further reading    Corbett, Greville G. 1991. *Gender*. Cambridge: Cambridge University Press.     Related Features  * [GB196: Male/female distinction in 2nd person pronouns](https://github.com/glottobank/Grambank/wiki/GB196)  * [GB197: Male/female distinction in 1st person pronouns](https://github.com/glottobank/Grambank/wiki/GB197)  * [GB051: Noun class/gender system: sex](https://github.com/glottobank/Grambank/wiki/GB051)  * [GB052: Noun class/gender system: shape](https://github.com/glottobank/Grambank/wiki/GB052)  * [GB053: Noun class/gender system: animacy](https://github.com/glottobank/Grambank/wiki/GB053)  * [GB054: Noun class/gender system: plant status](https://github.com/glottobank/Grambank/wiki/GB054)  * [GB192: Noun class/gender system: phonological properties of a noun](https://github.com/glottobank/Grambank/wiki/GB192)
