ID,Parameter_ID,Name,Description
GB020-0,GB020,0,absent
GB020-1,GB020,1,present
GB021-0,GB021,0,absent
GB021-1,GB021,1,present
GB022-0,GB022,0,absent
GB022-1,GB022,1,present
GB023-0,GB023,0,absent
GB023-1,GB023,1,present
GB024-1,GB024,1,Num-N
GB024-2,GB024,2,N-Num
GB024-3,GB024,3,both.
GB025-1,GB025,1,Dem-N
GB025-2,GB025,2,N-Dem
GB025-3,GB025,3,both.
GB026-0,GB026,0,absent
GB026-1,GB026,1,present
GB027-0,GB027,0,absent
GB027-1,GB027,1,present
GB028-0,GB028,0,absent
GB028-1,GB028,1,present
GB030-0,GB030,0,absent
GB030-1,GB030,1,present
GB031-0,GB031,0,absent
GB031-1,GB031,1,present
GB035-0,GB035,0,absent
GB035-1,GB035,1,present
GB036-0,GB036,0,absent
GB036-1,GB036,1,present
GB037-0,GB037,0,absent
GB037-1,GB037,1,present
GB038-0,GB038,0,absent
GB038-1,GB038,1,present
GB039-0,GB039,0,absent
GB039-1,GB039,1,present
GB041-0,GB041,0,absent
GB041-1,GB041,1,present
GB042-0,GB042,0,absent
GB042-1,GB042,1,present
GB043-0,GB043,0,absent
GB043-1,GB043,1,present
GB044-0,GB044,0,absent
GB044-1,GB044,1,present
GB046-0,GB046,0,absent
GB046-1,GB046,1,present
GB047-0,GB047,0,absent
GB047-1,GB047,1,present
GB048-0,GB048,0,absent
GB048-1,GB048,1,present
GB049-0,GB049,0,absent
GB049-1,GB049,1,present
GB051-0,GB051,0,absent
GB051-1,GB051,1,present
GB052-0,GB052,0,absent
GB052-1,GB052,1,present
GB053-0,GB053,0,absent
GB053-1,GB053,1,present
GB054-0,GB054,0,absent
GB054-1,GB054,1,present
GB057-0,GB057,0,absent
GB057-1,GB057,1,present
GB058-0,GB058,0,absent
GB058-1,GB058,1,present
GB059-0,GB059,0,absent
GB059-1,GB059,1,present
GB065-1,GB065,1,Possessor-Possessed
GB065-2,GB065,2,Possessed-Possessor
GB065-3,GB065,3,both
GB068-0,GB068,0,absent
GB068-1,GB068,1,present
GB069-0,GB069,0,absent
GB069-1,GB069,1,present
GB070-0,GB070,0,absent
GB070-1,GB070,1,present
GB071-0,GB071,0,absent
GB071-1,GB071,1,present
GB072-0,GB072,0,absent
GB072-1,GB072,1,present
GB073-0,GB073,0,absent
GB073-1,GB073,1,present
GB074-0,GB074,0,absent
GB074-1,GB074,1,present
GB075-0,GB075,0,absent
GB075-1,GB075,1,present
GB079-0,GB079,0,absent
GB079-1,GB079,1,present
GB080-0,GB080,0,absent
GB080-1,GB080,1,present
GB081-0,GB081,0,absent
GB081-1,GB081,1,present
GB082-0,GB082,0,absent
GB082-1,GB082,1,present
GB083-0,GB083,0,absent
GB083-1,GB083,1,present
GB084-0,GB084,0,absent
GB084-1,GB084,1,present
GB086-0,GB086,0,absent
GB086-1,GB086,1,present
GB089-0,GB089,0,absent
GB089-1,GB089,1,present
GB090-0,GB090,0,absent
GB090-1,GB090,1,present
GB091-0,GB091,0,absent
GB091-1,GB091,1,present
GB092-0,GB092,0,absent
GB092-1,GB092,1,present
GB093-0,GB093,0,absent
GB093-1,GB093,1,present
GB094-0,GB094,0,absent
GB094-1,GB094,1,present
GB095-0,GB095,0,absent
GB095-1,GB095,1,present
GB096-0,GB096,0,absent
GB096-1,GB096,1,present
GB098-0,GB098,0,absent
GB098-1,GB098,1,present
GB099-0,GB099,0,absent
GB099-1,GB099,1,present
GB103-0,GB103,0,absent
GB103-1,GB103,1,present
GB104-0,GB104,0,absent
GB104-1,GB104,1,present
GB105-0,GB105,0,absent
GB105-1,GB105,1,present
GB107-0,GB107,0,absent
