ID,Name,Description,Photo,Roles
AB,Anina Bolls,,,Coder
AC,Angela Chira,,,Methods-team
AF,Anna-Maria Fehn,,,Coder
AH,Andrew Harvey,"Andrew Harvey is a junior fellow at the Research Institute for Languages and Cultures of Asia and Africa (ILCAA), Tokyo University of Foreign Studies. His interests include the languages of the Tanzanian rift, their documentation and description, their formal morphosyntax, and the histories and cultures of their speaker communities, especially as evinced through linguistic arts and language contact.",andrew_harvey.jpg,Coder
AM,Alexandra Marley,,,Coder
AR,Amna Raja,"Amna Raja is a Grambank coder at SOAS/ELDP who has so far coded languages from the Americas and Africa with outlooks towards other continents. She enjoys reading, kickboxing and henna.",Amna.png,Coder
AS,Amalia Skilton,,,Coder
AV,Annemarie Verkerk,,,Methods-team
AWM,Alena Witzlack-Makarevich,"Alena Witzlack-Makarevich is a senior lecturer at the Hebrew University of Jerusalem. In the past, she supervised the GramBank coders at the University of Kiel. Currently she is a patron of twenty feature related to grammatical relations and alignment.",Alena.png,"Patron, Node leader, Coder"
BHR,Biu H. Huntington-Rainey,"Biu Huntington-Rainey is a BA student at SOAS/ELDP. Outside of coding languages with Grambank, his study focusses on language and identity on the internet, particularly the orthography of memes and online/offline code-switching.",Biu.jpg,Coder
BO,Bruno Olsson,,,Coder
CAO,Cheryl Akinyi Oluoch,,,Coder
CB,Claire Bowern,"Claire Bowern (PhD, Harvard, 2004) is Associate Professor of Linguistics at Yale University. She is a specialist in historical linguistics and language documentation, with particular reference to the languages of Australia - Yale Pama-Nyungan Lab. She does fieldwork in northern Australia on Yolŋu and Nyulnyulan languages and her reference grammar of Bardi appeared in 2012. Her current research involves the possible differences between languages spoken by hunter-gatherer groups and the better-studied languages of agriculturalists. She has led an interdisciplinary initiative funded by the National Science Foundation’s Human Social Dynamics program to investigate hunter-gatherer language change, including differences in loan rates, material culture nomenclature, and ethnobiology.",Claire.jpg,"Coder, Senior advisor"
CK,Carolina Kipf,,,Coder
CMG,Celia Mata German,,,Coder
DA,Daniel Auer,Daniel Auer is a graduate student at the Humboldt University of Berlin and a coder for Grambank. He focuses on Bantu and so-called Khoisan languages in East and Southern Africa.,daniel_auer.jpg,Coder
DB,Damián E. Blasi,"Damián Blasi is a postdoc at the University of Zürich and an external member of the MPI SHH where he uses large-scale typological databases to make inferences on the relevance of non-linguistic factors on linguistic structures, and provides general statistical assistance for Glottobank.",Damian.jpg,"Coder, Methods-team"
DN,David Nash,,,Coder
DO,David Osgarby,,,Coder
DP,Daniel Prestipino,"Daniel Prestipino is an undergraduate student at the Australian National University, studying Linguistics, German language, and Classical Studies. He is a coder at the ANU node of the Grambank project, and is interested in what socio-cultural factors drive language change. He hopes to pursue postgraduate study and research in the future.",daniel_prestipino.jpg,Coder
DS,Dineke Schokkin,,,Coder
ED,Ella Dorn,"Ella Dorn is a BA Chinese and Linguistics student at SOAS/ELDP, University of London and a coder for Grambank. She enjoys diachronic linguistics, Sino-Korean loanwords, light verse and film history.",ella_dorn.jpg,Coder
EJ,Erika Just,"Erika Just is a PhD candidate at the University of Kiel. Her research project is concerned with verb agreement domains, combining comparative typological methods with a case study on optional verb agreement in three related Bantu languages. Her role in Grambank is to code languages.",Erika.jpg,Coder
EK,Eri Kashima,"Eri Kashima is a PhD candidate at the Australian National University, and part of the ARC Centre of Excellence for the Dynamics of Language, and a member of the ARC Wellsprings of Linguistic Diversity Project. Eri is a documentary sociolinguist who works on language variation and change in the southern area of Papua New Guinea.",eri_kashima.jpg,Coder
ER,Eloisa Ruppert,Eloisa Ruppert is a coder from Kiel. She is currently doing her master’s degree in Language and Variation and Scandinavian Studies.,Eloisa.jpg,Coder
FE,Farah El Haj Ali,Farah El Haj Ali is a Grambank coder currently studying English Studies and Empirical linguistics at the University of Kiel.,Farah_El_Haj_Ali.jpg,Coder
FS,Frederick W. P. Schmidt,,,Coder
GB,Giulia Barbos,"Giulia Barbos is a Grambank language coder based in London. She is part of the SOAS/ELDP team and she holds a degree in Linguistics and International Relations. She has an interest for the area of intersection of language/discourse and the political sphere. In particular, she is passionate about language change and variation in political discourse, including transformations at the lexical, morphosyntactic, and discourse-pragmatic levels.",Giulia.jpg,Coder
GE,Grace Ephraums,,,Coder
GF,Giada Falcone,,,Coder
GI,Guglielmo Inglese,,,Coder
GR,Ger Reesink,,,"Coder, Senior advisor"
HC,Hoju Cha 차호주,"Hoju Cha is an undergraduate student of linguistics and mathematics at Seoul National University. He has been an avid reader of grammars for some time, and now he's been tasked to code languages at Grambank. He is primarily interested in linguistic typology.",hoju_cha.jpg,Coder
HDS,Hilário de Sousa,,,Coder
HDV,Hugo de Vos,,,Coder
HG,Hannah Gibson,,,"Node leader, Coder"
HH,Harald Hammarström,"Harald Hammarström has a background in linguistics and computer science. He is working in the Grambank project in the design, planning and management as well as website programming and occasional coding.",harald_hammarstrom.jpg,"Patron, Node leader, Coder, Senior advisor"
HJH,Hannah J. Haynie,"Hannah Haynie is an Assistant Professor of Linguistics at the University of Colorado. Her research focuses on language diversity and language change, integrating ideas from ecology and biology with rigorous linguistic analysis to answer questions in linguistic typology and diachronic linguistics. She is particularly interested in interactions between language, culture, and the physical environment. Patterns of linguistic diversity in North America have been central to her work to date. Hannah is one of the Grambank questionnaire designers and a 'feature patron' for the coding effort.",hannah_haynie.jpg,"Patron, Coder, Methods-team"
HL,Hannah Lutzenberger,,,Coder
HPG,Hans-Philipp Göbel,Hans-Philipp Göbel codes languages for Grambank. He is a bachelor student in empirical linguistics and scandinavian studies at CAU Kiel. In his masters programme he wants to focus on language typology.,Hans-Philipp.jpg,Coder
HS,Hedvig Skirgård,"Hedvig Skirgård is a postdoctoral researcher at DLCE at MPI-EVA in Leipzig. She is the main project coordinator for Grambank. She was previously employed as a coder within the Nijmegen Typological Survey which is the precursor to Grambank. She is also the patron for a set of Grambank features, including features concerning negation and tense & aspect.",hedvig_skirgard.jpg,"Project coordinator, Patron, Node leader, Coder, Methods-team"
HW,Henry Wu,"Henry Wu is an undergraduate Linguistics and Sanskrit student at ANU, and is a Grambank coder there. His research interests in linguistics include historical linguistics, language contact, language description and typology. He is currently planning an interdisciplinary project on the history of Chinese Buddhist translation for his honours year.",henry_wu.jpeg,Coder
HunterGatherer, HunterGatherer,,,Coder
IC,India O.C. Pearey,"India Pearey is a Grambank coder based at SOAS/ELDP London where she is completing a BA in Korean and Linguistics. Her specific interests lie in Koreanic languages and judging prescriptivists. Aside from long hours reading grammars her hobbies include sports, eating, and sleeping.",india_castro.jpg,Coder
IK,Ivan Kapitonov,,,Coder
JAM,Jacob Menschel,,,Coder
JC,Jeremy Collins,"Jeremy Collins is a PhD student at Radboud University, Nijmegen and the Max Planck Institute for Psycholinguistics, researching language structures and what their distributions can show about prehistoric relatedness and contact between languages. He is a Grambank designer and feature patron.",jeremy_collins.jpg,"Patron, Node leader, Coder"
JE,John Elliott,,,Coder
