ID,Newick
abkh1242,"(((ashk1247:1,bezs1238:1,tapa1256:1)abaz1241:1,(abzh1238:1,bzyb1238:1,samu1242:1)abkh1244:1)abkh1243:1,((abad1240:1,bezh1247:1,natu1243:1,shap1240:1,xaku1238:1)adyg1241:1,(grea1271:1)kaba1278:1)circ1239:1,ubyk1235:1)abkh1242:1;"
afro1255,"((awji1241:1,(aytw1238:1,eltu1238:1)ghad1239:1,((sawk1238:1,siwi1239:1)siwi1238:1,(tach1249:1,(((oued1238:1,tari1264:1,tema1244:1)taga1278:1,tema1243:1)ouar1239:1,(gour1247:1,sout3056:1,toua1238:1)tazn1238:1,(tidi1242:1,titt1238:1)tidi1241:1,tumz1238:1)moza1250:1,(east2803:1,((beni1249:1,(arze1238:1,beni1251:1,beni1250:1,guel1234:1,tems1234:1)cent2333:1,kebd1234:1,(beni1252:1,igze1238:1,meta1239:1)sout3264:1)east2804:1,(boqq1234:1,urri1238:1)west2882:1)riff1234:1)tari1263:1,chen1266:1,((nucl1705:1,tmag1238:1)sene1271:1,tuni1262:1)zuar1239:1)zena1250:1)grea1296:1,(((cent2195:1,stan1324:1)cent2194:1,(ghom1257:1,senh1238:1)nort3248:1,(susi1238:1)tach1250:1)atla1275:1,(less1241:1,grea1281:1)kaby1243:1)kaby1244:1,(jbal1238:1,jerb1241:1,jerb1242:1,tame1243:1)nafu1238:1,(((tadg1238:1,tadh1242:1,timb1263:1)tama1365:1,(ioul1238:1,tawa1287:1,tawa1288:1)tawa1286:1,(airr1242:1,tana1297:1)taya1257:1)sout3263:1,(ghat1242:1,hogg1238:1)taha1241:1)tuar1240:1,(guan1277:1)unun9880:1,(tets1235:1,zena1248:1)west2724:1)berb1260:1,(((mbuk1243:1,(dume1239:1,hurz1243:1,mber1261:1,ndre1239:1,gwen1242:1)vame1236:1)hurz1242:1,((lamm1244:1)gida1247:1,(hyaa1239:1,((gamb1258:1,gili1246:1)bana1305:1,(kamw1239:1,kiry1234:1)higi1242:1)nkaf1238:1,(nucl1685:1,wula1250:1,zlen1238:1)psik1239:1)higi1241:1,((kuri1265:1,nort3049:1,nucl1686:1,sout3052:1)budu1265:1,((affa1240:1,logo1274:1,logo1273:1)lagw1237:1,(gawi1244:1,houl1238:1,kabe1249:1,kalo1266:1,nucl1691:1)mser1242:1)koto1263:1,((moee1234:1,muhu1242:1,zina1234:1)jina1244:1,(hwal1242:1,kaji1238:1,nucl1687:1)maje1243:1)jina1243:1,((afad1236:1,(nucl1689:1,saoo1238:1)masl1241:1)koto1268:1,((doug1242:1,droo1238:1,goul1242:1,mara1413:1,nucl1688:1,wali1273:1)malg1250:1,(bodo1278:1,diga1245:1,maka1322:1,nucl1690:1,shoe1243:1,woul1238:1)mpad1242:1,ngal1301:1)koto1269:1)koto1265:1)koto1267:1,((turr1244:1)hdii1240:1,((dlig1238:1,hedk1239:1,waga1267:1)cent2190:1,ghud1238:1,(dzub1245:1,gwoz1239:1,legh1238:1,zala1252:1)nort3048:1,zala1251:1)lama1288:1,(vemg1241:1,visi1243:1)vemg1240:1)lama1287:1,((((hyil1238:1,pabi1240:1,pela1248:1)bura1292:1,ciba1236:1,nggw1242:1,puta1243:1)bura1297:1,(((luwa1242:1)huba1236:1,marg1266:1)kilb1234:1,(gula1275:1,gwar1244:1,lass1239:1,wurg1238:1)marg1265:1)bium1270:1)bura1296:1,((dghw1239:1,(cine1238:1,(chen1265:1,chik1255:1,gava1240:1)gudu1252:1)gudu1253:1,gvok1239:1)dghw1240:1,(mata1306:1,park1239:1)podo1243:1,((bokw1242:1,ngos1242:1,nucl1680:1)glav1244:1,(malg1251:1,(gama1258:1,gwan1267:1,jamp1241:1,kamb1315:1,kira1252:1,masf1235:1,maza1303:1,mura1277:1,nucl1682:1,ziog1238:1)wand1278:1)wand1281:1)wand1280:1)mand1472:1,(((mike1242:1)dugw1239:1,(dugu1258:1)mere1246:1,(gemz1238:1,mine1239:1,zulg1243:1)zulg1242:1)meri1245:1,((dime1245:1,gudu1251:1,mass1267:1,moko1254:1,njel1238:1,zidi1238:1)mofu1248:1,(dour1242:1,waza1238:1)nort3046:1)mofu1250:1,(mada1293:1,molo1266:1,muya1243:1,wuzl1236:1)toko1243:1)mofu1249:1)marg1267:1,(bald1241:1,((mutu1250:1)nort3047:1,(mimi1245:1,mutu1251:1,rumm1238:1)sout3051:1)gizi1243:1)maro1246:1,((mbar1260:1,((beeg1236:1,mpus1238:1,muzu1238:1,vulu1239:1)munj1246:1,munj1247:1)musg1254:1)musg1256:1,musk1256:1)bium1279:1)nort3156:1,(((muly1238:1,opal1238:1,wadu1238:1)baca1246:1,baca1245:1,(dems1242:1,garo1255:1,jira1247:1,kobo1254:1,mala1531:1,ndee1246:1,riba1250:1,wadi1258:1,zumu1241:1)bata1314:1,(((fali1285:1,(fali1289:1,fali1286:1,fali1287:1,fali1288:1)gude1246:1)fali1290:1,(djim1239:1,jimo1235:1,mala1532:1,wadi1259:1,zumo1247:1)jimi1254:1,zizi1238:1)gude1248:1,(holm1250:1,(dede1238:1,hood1240:1,lovi1238:1,maga1269:1,maih1239:1,muti1238:1,nggw1243:1,paka1255:1,roge1238:1)nzan1240:1)nzan1241:1,(shar1249:1,tsuv1243:1)shar1250:1)gude1247:1,(kumb1278:1)gudu1250:1,ngwa1251:1)bium1271:1,((buwa1243:1,gava1241:1)buwa1244:1,((nive1238:1,polo1246:1)nucl1683:1,(kola1291:1,musg1253:1)maza1304:1)daba1262:1,mbed1242:1,(besl1239:1,gamd1238:1,jing1267:1)mina1276:1)bium1274:1,(cuvo1236:1,((koza1239:1,ldam1238:1,moko1255:1,moko1256:1,ouza1238:1)cent2189:1,(roua1238:1,soul1242:1)east2648:1,nucl1678:1,(mago1253:1,mavo1238:1)west2706:1)mafa1239:1,(muhu1241:1,nucl1679:1,sera1269:1,shug1252:1)mefe1242:1)mata1311:1,suku1272:1,((boga1251:1,(gabi1247:1,nucl1684:1)gaan1243:1,hwan1240:1)east2649:1,(jara1274:1,(bura1293:1,nyim1251:1,pidl1239:1)tera1251:1)west2707:1)bium1275:1)sout3145:1,(jilb1238:1)unun9878:1)bium1280:1,((((mire1238:1,(ndam1252:1,ndam1253:1)ndam1251:1,somr1248:1,(modd1238:1,nucl1676:1)tuma1260:1)east2643:1,(boor1242:1,gada1262:1,saru1245:1)east2644:1)east2775:1,((lele1276:1,nanc1253:1)east2721:1,((gabr1253:1,(buru1318:1,kimr1242:1,tchi1253:1)kimr1241:1)gabr1256:1,(gabl1238:1)kaba1292:1,(gabr1254:1,moon1238:1,nucl1677:1)toba1280:1)east2722:1)east2645:1,((nyim1250:1)kera1255:1,(aloa1239:1,gaya1250:1,kawa1287:1,mind1262:1,mobo1238:1,ngam1281:1,nucl1675:1,tcha1244:1)kwan1285:1)east2641:1)east2640:1,((((guil1240:1,jalk1246:1)cent2362:1,komi1275:1)bare1279:1,saka1296:1)bara1406:1,((((abgu1238:1,agra1238:1,dugu1257:1,east2639:1)birg1239:1,(koff1242:1,mogu1254:1,mogu1253:1,mogu1252:1)mogu1251:1,tora1267:1)birg1240:1,((biga1242:1,gara1267:1,jekk1238:1,nalg1238:1,oboy1238:1)bidi1241:1,(cent2187:1,east2637:1,west2704:1)dang1274:1,(damb1250:1,doga1242:1,gami1251:1,nucl1674:1)miga1249:1,((doug1241:1,musu1240:1)jonk1238:1)unun9877:1)dang1276:1,mabi1242:1)dang1275:1,(kaja1254:1,masm1239:1,mubi1246:1,zire1244:1)mubi1247:1)east2709:1,(mawa1270:1,(milt1241:1,(saba1276:1,(beda1245:1,nucl1673:1)soko1263:1,tamk1242:1)saba1281:1)soko1265:1,ubii1238:1)east2710:1,(doli1242:1,gugi1238:1,mezi1238:1,moki1243:1,mori1277:1,segi1242:1)muku1242:1)east2633:1)east2632:1,(((hama1241:1,(mono1279:1)marb1239:1,(bong1299:1,jara1273:1,leww1238:1,peee1242:1,peho1238:1)muse1242:1)marb1244:1,(gize1234:1,(bana1304:1,bong1298:1,budu1264:1,bugu1248:1,(giza1238:1,wina1241:1)cent2188:1,guma1259:1,(domo1238:1,wali1272:1,yagw1244:1)west2705:1)masa1322:1,zuma1239:1)masa1324:1)nort3157:1,(herd1236:1,(bero1246:1,zamr1238:1)mesm1239:1,nget1241:1,(dari1254:1,doee1242:1,lame1268:1)peve1243:1)sout3146:1)masa1323:1,((((gwan1271:1,gwan1272:1,gwan1270:1,gwan1273:1,gwan1269:1,nimb1261:1)gwan1268:1,(ader1239:1,dama1277:1,dawr1243:1,(hade1247:1,kano1249:1,kata1274:1)east2650:1,gaya1252:1,kurf1238:1,(araw1280:1,arew1238:1)nort3050:1,(adar1242:1,gobi1238:1,kats1239:1,kebb1238:1,soko1264:1,zamf1238:1)west2719:1)haus1257:1)west2718:1,((((birk1246:1,jala1241:1,kwar1243:1)kare1348:1,((gala1264:1,(giiw1236:1,((beel1236:1,(fika1239:1,gada1263:1)nucl1695:1)bola1254:1,ngam1282:1)ngam1283:1)kirf1234:1)gala1265:1,((gera1246:1,(duur1238:1,gams1239:1,summ1239:1)geru1240:1)gera1248:1,(deno1239:1,kubi1239:1)kubi1240:1)gera1247:1)nucl1735:1,(bure1242:1,(kuns1242:1)khol1240:1,maak1236:1,nyam1285:1)unun9876:1)bole1261:1,((gasi1239:1,shan1290:1,shel1247:1)dera1248:1,(kush1236:1,pero1241:1,(kwon1238:1,piya1246:1)piya1245:1,((kutt1236:1,kwaa1269:1)kwam1256:1,(bili1259:1,kalt1239:1,shon1256:1,ture1239:1)nucl1696:1)tang1378:1)tang1367:1)tang1366:1)west2715:1,(beln1234:1,(goem1240:1,(balt1262:1,nucl1699:1)mont1280:1,(koen1239:1,pyap1239:1,tall1250:1)tali1264:1)anga1311:1,((chak1276:1,mush1239:1)cakf1236:1,(chak1275:1,nucl1698:1,((bwol1240:1,gwor1239:1)bwal1234:1,jiby1234:1,jipa1239:1,dimm1243:1,kwag1238:1,mirr1240:1)kofy1242:1)kofy1244:1,(doka1247:1)mish1244:1)kofy1243:1,(mupu1234:1,pany1246:1,taka1269:1)mwag1236:1,(hill1255:1,plai1263:1)ngas1240:1,yiwo1237:1)west2717:1)west2799:1,((fyer1241:1,tamb1267:1)fyer1240:1,((kamw1240:1,rich1238:1,toff1238:1)kule1247:1,mang1417:1,(duhw1236:1,mund1334:1)mund1337:1,(bokk1242:1,daff1239:1)ronn1241:1,shaa1247:1)roni1235:1)west2716:1)west2714:1,((duwa1244:1,(ngiz1242:1,((gash1250:1,shir1268:1,sout3053:1,west2711:1)bade1248:1,(auyo1240:1,tesh1239:1)shir1276:1)shir1274:1)ngiz1243:1)west2710:1,(ajaw1236:1,ciwo1236:1,diri1259:1,mbur1239:1,paaa1242:1,siri1278:1,(kari1316:1,(dems1243:1,fais1241:1,fede1238:1,furs1241:1,gala1263:1)miya1266:1,warj1253:1)warj1254:1,zumb1240:1)west2712:1,(((bogh1241:1,(kirb1236:1,mang1416:1)kirm1251:1)bogh1240:1,((dook1241:1,garr1238:1,gaya1251:1,kara1505:1,kuuk1242:1,lung1252:1,mbaa1250:1)guru1271:1,(zumo1248:1)jimi1255:1,(juuu1243:1,tala1295:1,zang1255:1)tala1296:1)guru1272:1)sout3161:1,(((zara1252:1,(bolu1244:1,geji1247:1,pelu1234:1)nucl1692:1)geji1246:1,(luri1256:1,(bara1394:1,buli1260:1,dirr1240:1,lang1332:1,lund1276:1,polc1244:1,zull1239:1)polc1243:1)nyam1284:1)nort3190:1,((durr1240:1,wand1279:1,zodi1234:1,zumb1241:1)dass1243:1,(dyar1234:1,(sigi1234:1,(gamb1260:1,kall1245:1,lere1243:1,lusa1234:1)zaar1253:1,zaks1239:1)saya1246:1,(boto1248:1,nucl1694:1)zari1242:1)zaks1240:1,(dans1239:1,lush1256:1,nucl1693:1)zeem1242:1)sout3170:1)sout3162:1)west2800:1)west2790:1)west2785:1)chad1250:1,(((dega1239:1,kunf1239:1,kwol1241:1)awng1244:1,((bili1260:1,(kham1301:1,(kayl1240:1,semy1238:1)tran1295:1)xamt1239:1)nort3163:1,(demb1239:1,fala1246:1,nucl1704:1,hwar1238:1)qima1242:1)nort3158:1)cent2193:1,(abab1239:1,amar1281:1,beni1248:1,bish1251:1,hada1239:1,hade1248:1)beja1238:1,(daha1245:1,(burj1242:1,((((leem1242:1,soro1243:1)hadi1240:1,libi1250:1)hadi1242:1,(alab1254:1,(qebe1239:1,tamb1268:1,timb1262:1)kamb1316:1)kamb1318:1)hadi1241:1,(gede1246:1,sida1246:1)sida1248:1)sida1247:1)high1285:1,(((auss1240:1,baad1239:1,cent2192:1,nort3052:1)afar1241:1,((dabr1234:1,mini1259:1)cent2359:1,(assa1272:1,thar1285:1)nort3327:1,(irob1238:1,xazo1234:1)sout3314:1)saho1246:1)saho1245:1,(((((bais1246:1,jiid1238:1)bais1247:1,((iroo1238:1,nucl1703:1)daba1260:1,tunn1238:1)daba1261:1,giri1245:1,((kili1272:1,(badd1234:1,(bire1234:1,(jara1277:1,kije1234:1,safa1247:1)cent2334:1)sout3265:1)nucl1772:1)awee1242:1,garr1259:1)karr1237:1,(afhe1238:1)maay1238:1,rend1243:1,(afas1238:1,bena1268:1,dego1238:1,nort3051:1,ogad1238:1)soma1255:1)east2653:1,(arbo1245:1,daas1238:1,elmo1238:1)west2723:1)omot1245:1,(((buss1239:1,dira1242:1)gido1236:1,kons1243:1)kons1242:1,((((arsi1238:1,(yaab1234:1)bora1272:1,gabr1255:1,guji1239:1,kere1294:1,saku1238:1,sala1277:1)bora1271:1,(muny1242:1,nucl1702:1,waat1239:1)orma1241:1)cent2303:1,((bare1280:1,(raya1242:1,well1239:1)nort3272:1)east2652:1,waat1238:1)sout3218:1)cent2302:1,(mech1243:1,tule1250:1,west2722:1)west2721:1)nucl1736:1)nucl1701:1)main1283:1,(((dihi1238:1,gerg1238:1,gobe1239:1,goll1242:1,goro1271:1,hars1238:1)gaww1239:1,tsam1247:1)dull1239:1,yaak1241:1)tran1283:1)sout3055:1)lowl1267:1,(boon1242:1)unun9873:1)east2699:1,(aasa1238:1,kwad1248:1,(buru1320:1,(alag1248:1,(goro1270:1,(asaa1238:1)iraq1241:1)iraq1240:1)nort3164:1)west2720:1)sout3054:1)cush1243:1,((boha1242:1,(fayy1237:1,oxyr1237:1)midd1332:1,oldc1247:1,(akhm1237:1,lyco1237:1,sahi1241:1)uppe1445:1)copt1239:1,(arch1248:1,demo1234:1,late1256:1,midd1369:1,olde1242:1)egyp1246:1)egyp1245:1,(((earl1248:1,late1257:1,midd1371:1,midd1370:1,neoa1235:1,neob1234:1,olda1247:1,olda1248:1,oldb1249:1)akka1240:1,ebla1238:1)east2678:1,(amor1239:1)uncl1507:1,((((dada1236:1,duma1255:1,hasa1249:1,hism1236:1,safa1245:1,taym1240:1)anci1245:1,((baha1259:1,dhof1235:1,(alha1241:1,alha1242:1,bahr1247:1,kham1298:1,kuwa1251:1,nort3138:1,sout3120:1,zuba1242:1)gulf1241:1,hadr1236:1,(coas1310:1,nort3136:1,sout3118:1,vall1257:1)hija1235:1,(aden1242:1,beda1249:1,habb1238:1,sana1296:1)jude1267:1,((aniz1234:1,arid1234:1,cent2323:1)cent2224:1,nort3137:1,qasi1234:1,(najr1234:1,almu1234:1)sout3119:1)najd1235:1,oman1239:1,sana1295:1,shih1239:1,(aden1241:1,taiz1243:1)taiz1242:1)arab1393:1,(((balk1259:1)taji1248:1,(buxa1234:1,qash1241:1)uzbe1248:1)afgh1238:1,(anat1256:1,euph1238:1,koli1251:1,tigr1275:1)meso1252:1,khor1274:1,(jude1266:1,(diya1234:1,kozl1234:1,(azex1234:1,kosa1252:1,mard1249:1,mard1247:1,mard1248:1)mard1246:1,mosu1235:1,siir1234:1)nort3142:1)qelt1235:1)east2729:1,((nort3130:1,nort3131:1,nucl1707:1,sout3112:1)east2690:1,((cair1238:1,sout3113:1,(cent2361:1,nort3335:1,sout3322:1)east2848:1,hele1238:1,(daqa1234:1,manz1244:1)nort3132:1,(bihe1234:1,buru1324:1,east2849:1,farw1237:1)west2938:1)egyp1253:1,(asyu1234:1,gina1240:1,(sout3325:1,sout3324:1)midd1342:1,sout3323:1,(asyu1235:1,beri1256:1,esna1234:1,nagh1239:1)uppe1453:1,west2939:1)said1239:1,((bath1248:1,char1283:1)chad1249:1,nubi1253:1,suda1237:1,(jaal1238:1,khar1296:1,nort3133:1,shuk1244:1,west2773:1)suda1236:1)suda1235:1)egyp1254:1)egyp1251:1,(cypr1248:1,(alep1241:1,beqa1238:1,cili1234:1,iqli1238:1,jdai1238:1,nort3140:1,nort3141:1,said1240:1,sout3122:1,sout3121:1,stan1323:1,sunn1238:1)nort3139:1,(fell1238:1,mada1297:1)sout3123:1)leva1239:1,((algi1247:1,cons1245:1,oran1236:1)alge1239:1,alge1240:1,(jude1264:1,(tuni1261:1)jude1263:1)eqal1234:1,hass1238:1,(kjal1234:1,wqal1234:1)jude1265:1,(east2691:1,sout3116:1,trip1239:1,west2774:1)liby1240:1,(gozo1238:1,port1290:1,rura1250:1,rura1251:1,rura1249:1,stan1322:1,zurr1238:1)malt1254:1,(anda1287:1,(fezm1238:1,jebl1238:1,marr1264:1,oujd1238:1,raba1252:1,sout3117:1,tang1371:1)moro1292:1)moro1295:1,(nort3135:1,sahi1245:1,sfax1238:1,sout3115:1,sout3114:1,tuni1260:1)tuni1259:1)nort3191:1,stan1318:1)arab1395:1)arab1394:1,(((impe1235:1,((((boht1238:1,(hert1242:1,jine1238:1,umra1238:1)hert1241:1)boht1239:1,(((anha1242:1,marb1243:1,noch1239:1,terg1238:1)cent2218:1,iran1268:1,(bazz1238:1,dezz1235:1,gava1245:1,jilu1238:1,quds1238:1,sala1281:1,uppe1449:1,vann1248:1)nort3096:1,(arad1238:1,bena1272:1,daud1238:1,inis1238:1,tina1254:1)sapn1238:1,(sipu1244:1,sold1238:1,urmi1250:1)urmi1249:1,(chri1234:1,lewi1238:1,lowe1435:1,tall1254:1,tkhu1242:1)west2765:1)assy1241:1,((erbi1235:1,(sena1268:1,sule1247:1)sule1246:1)chri1236:1,(diho1238:1,mang1421:1,shir1272:1,chri1237:1)chri1235:1,(alqo1238:1,bart1242:1,chri1238:1,telk1238:1,tisq1238:1)mosu1234:1)chal1275:1,jewi1240:1,((barz1242:1,biji1250:1,sand1282:1,shah1261:1)barz1241:1,(amad1244:1,atru1243:1,bara1398:1,beta1257:1,chal1276:1,cizr1234:1,dohu1239:1,nerw1238:1,shuk1240:1,zakh1247:1)lish1247:1)nort3242:1,((sana1291:1,kere1298:1,saqi1238:1,sule1243:1)hula1244:1,((anat1252:1,salm1240:1)nort3098:1,(maha1304:1,nagh1238:1,ushn1238:1)sout3077:1)lish1246:1,(koys1242:1,(((rust1238:1,rwan1245:1)nort3097:1,(koys1241:1,qala1238:1)sout3076:1)east2682:1,rany1242:1,shaq1238:1,(arbe1239:1,dobe1242:1)west2766:1)lish1245:1)sout3213:1)tran1290:1)nort3241:1,(mlah1239:1,(anhi1238:1,iwar1238:1,kfar1238:1,midi1241:1,midy1238:1,rait1238:1)turo1239:1)turo1240:1)cent2217:1,(east2681:1,west2764:1)clas1252:1,(clas1253:1,(ahwa1239:1,iraq1245:1,shus1252:1)nucl1706:1)mand1468:1)east2680:1,(dead1234:1,hatr1234:1,naba1259:1,palm1242:1)midd1366:1,((chri1239:1,pale1261:1,(gali1269:1,sama1314:1)sama1316:1)late1255:1,(bakh1251:1,juba1242:1,malu1250:1)west2763:1)west2815:1)midd1367:1)impe1236:1,(olda1246:1,sama1317:1)olda1245:1)aram1259:1,(((ammo1234:1,bibl1238:1,edom1234:1,moab1234:1)anci1244:1,(orie1241:1,stan1314:1)hebr1245:1,sama1313:1)hebr1246:1,((phoe1239:1,(neop1239:1)puni1241:1)phoe1238:1,ugar1238:1)ugar1239:1)cana1267:1)nort3165:1,(hadr1235:1,mina1279:1,(faif1234:1,jaba1234:1)mode1270:1,qata1238:1,saba1279:1)sayh1236:1)cent2236:1,(geez1241:1,(((gafa1240:1,(dobi1240:1,gali1268:1,sodd1242:1)kist1241:1)ngro1237:1,(mesq1240:1,((eneg1238:1,ener1234:1,gyet1241:1,inor1240:1)inor1238:1,mesm1243:1)inor1239:1,(chah1248:1,ezha1238:1,gume1239:1,gura1260:1,muhe1234:1)seba1251:1)ttgr1237:1)oute1258:1,((amha1245:1,argo1244:1)amha1244:1,(hara1271:1,(silt1240:1,wola1253:1)silt1239:1,zayy1238:1)hara1270:1)tran1288:1)sout3078:1,((daha1247:1,((betg1234:1,mans1267:1)cent2338:1,(alga1234:1,3adt1234:1,beni1253:1,haba1239:1,mary1234:1,mary1235:1)nort3292:1,(gend1251:1,mash1273:1,mass1268:1,zula1234:1)sout3273:1)tigr1270:1)tigr1277:1,(nort3336:1,sout3326:1)tigr1271:1)tigr1276:1)ethi1244:1,(((cent2214:1,kuri1269:1,west2759:1)sheh1240:1,(abda1238:1,cent2215:1,(nort3092:1,nort3091:1)nort3090:1,sout3075:1,west2760:1)soqo1240:1)east2766:1,(hoby1242:1,(bath1244:1,hars1241:1,(nagd1238:1,(east2679:1,west2936:1)west2761:1)mehr1241:1)west2859:1)hoby1243:1)mode1252:1)west2786:1)semi1276:1)afro1255:1;"
ainu1252,"(((hokk1243:1,tara1248:1)ainu1240:1,kuri1271:1)hokk1250:1,sakh1245:1)ainu1252:1;"
algi1248,"(((((arap1274:1,gros1243:1)arap1280:1,nawa1259:1)arap1273:1,chey1247:1,(atik1240:1,(moos1236:1,nort1552:1,(mich1243:1,(nort2960:1,nucl1654:1,west2629:1)plai1258:1)plai1264:1,sout2978:1,(east2541:1,west2628:1)swam1239:1,wood1236:1)cree1272:1,(east2540:1,west2627:1)mont1268:1,(east2539:1,west2626:1)nask1242:1)cree1271:1,(((peno1243:1)east2544:1,west2630:1)aben1250:1,caro1243:1,((muns1251:1,unam1242:1)comm1246:1,mahi1248:1)dela1253:1,(male1293:1,pass1249:1)male1292:1,(nort2962:1,sout2979:1)mikm1235:1,(nant1249:1,pisc1239:1)nant1248:1,powh1243:1,(loup1243:1,(mont1269:1,narr1280:1,pequ1242:1,stoc1240:1)mohe1244:1,wamp1250:1,wamp1249:1)sout3237:1)east2700:1,((kick1244:1,(mesk1243:1,sacc1239:1)mesk1242:1)foxx1245:1,(nucl1653:1,peor1238:1)miam1252:1,((((cent2136:1,(cent2135:1,minn1250:1,redl1238:1,turt1236:1,uppe1274:1)chip1241:1,east2542:1)cent2252:1,((alba1270:1,bere1251:1,lacs1238:1,lake1257:1,rain1239:1)nort2961:1,west1510:1)nort3181:1)nucl1723:1,otta1242:1,((mini1254:1,nort3290:1)algo1255:1,((seve1241:1,wini1244:1)bigt1234:1,deer1234:1)seve1240:1)seve1242:1)ojib1241:1,pota1247:1)ojib1240:1,shaw1249:1)east2765:1,meno1252:1)algo1257:1,(bloo1239:1,pieg1239:1)siks1238:1)algo1256:1,wiyo1248:1,yuro1248:1)algi1248:1;"
amto1249,"(amto1250:1,siaw1243:1)amto1249:1;"
anga1289,"(anga1290:1,(((anka1247:1,buuu1245:1,miya1257:1,sawu1242:1,wiya1238:1,wuna1250:1)anka1246:1,(akoy1238:1,tain1253:1)tain1255:1)sout3130:1,((guli1243:1,nucl1457:1,usir1238:1,want1250:1)baru1267:1,simb1255:1)baru1271:1,((howi1238:1,kain1268:1,nucl1456:1,pmas1239:1,went1242:1)hamt1247:1,meny1245:1)kapa1251:1,((kama1360:1,susu1251:1)kama1359:1,kawa1276:1,(aiew1238:1,waja1260:1)safe1240:1)nort3145:1,yagw1240:1)nucl1763:1)anga1289:1;"
anim1240,"((ipik1244:1,((hoia1235:1,hoya1235:1)hoya1236:1,mahi1249:1,mina1274:1,muba1238:1)west2867:1)inla1262:1,(((aewa1238:1,ingi1242:1,khoa1239:1,kuni1266:1,seng1283:1,wama1248:1)kuni1265:1,(bagw1238:1,deaa1242:1,nucl1623:1)zima1244:1)boaz1244:1,(bian1251:1,(cent2332:1,(gawi1240:1,sout2944:1,tuge1242:1)hali1245:1)nucl1622:1)nucl1621:1,(wark1247:1,(bapa1239:1,namb1294:1,obam1239:1)yaqa1246:1)yaqa1245:1)mari1437:1,(abom1238:1,(bara1378:1,bitu1242:1,(giri1244:1)maka1315:1,were1244:1)nucl1713:1)tiri1259:1)anim1240:1;"
arau1255,"((tses1238:1)huil1244:1,(molu1245:1,pehu1241:1,picu1247:1)mapu1245:1)arau1255:1;"
araw1281,"(((bani1254:1,maip1246:1)maip1247:1,((bani1260:1,ware1257:1)guar1293:1,(pare1276:1,yavi1245:1)yavi1244:1)pare1275:1)alto1249:1,(((((east2562:1,west2649:1)gari1256:1,(vinc1241:1)isla1278:1)isla1279:1,araw1276:1)iner1234:1,mara1409:1,(bori1244:1,luca1234:1,tain1257:1,tain1256:1,yama1267:1)tain1254:1,(arub1238:1)uncl1528:1)anti1247:1,((alil1239:1,toaa1239:1)para1316:1,wayu1243:1)guaj1257:1,(arai1239:1,uiri1238:1)uncl1521:1)cari1281:1,((enaw1238:1,pare1272:1,sara1331:1)pare1273:1,((kust1238:1,(mehi1240:1,waur1244:1)waur1245:1)waur1246:1,yawa1261:1)xing1249:1)cent2226:1,((juma1250:1,pass1250:1)japu1237:1,kais1242:1,mepu1234:1,((resi1247:1,uain1239:1,(guar1294:1,yuku1245:1)yucu1253:1)yucu1252:1,((((hoho1238:1,bani1261:1,(bani1262:1,bani1264:1,bani1263:1)sius1255:1)bani1255:1,(korr1239:1,unhu1238:1)curr1243:1)bani1259:1,(kuma1282:1,(peri1265:1,sant1459:1)peri1264:1)tari1256:1)bani1258:1,cabi1241:1,(mand1448:1,ware1255:1)ware1256:1,(acha1250:1,piap1246:1)piap1247:1)nort3362:1)nucl1764:1)japu1236:1,((bare1276:1,guin1258:1)bare1282:1,(anau1243:1,yaba1249:1)mara1421:1)alto1250:1,(arua1264:1,((cari1280:1,mana1299:1)cari1286:1,xiri1243:1)bahu1238:1,(mapi1252:1,(aroa1234:1,para1324:1,(sheb1234:1)uncl1522:1,(ator1244:1,(amar1241:1,ator1243:1)wapi1253:1)wapi1254:1)wapi1252:1)mapi1253:1)negr1239:1,pali1279:1,(((carm1234:1,hist1234:1,joaq1235:1,baur1256:1,muxo1234:1,paic1240:1)baur1253:1,((igna1246:1,(javi1240:1,lore1245:1,trin1278:1)trin1274:1)moxo1234:1,paun1241:1)moxo1235:1,(chan1322:1,guan1270:1,tere1281:1)tere1279:1,(apol1242:1,magi1242:1)uncl1518:1)boli1260:1,((((((ajyi1238:1,ashe1272:1,pich1237:1,ucay1237:1)ashe1271:1,(ashe1273:1,sout3127:1)ashe1274:1,asha1243:1)asha1242:1,caqu1242:1)asha1241:1,(mach1267:1,nant1250:1)mats1245:1)asha1244:1,noma1263:1)prea1240:1,yane1238:1)kamp1244:1,((cham1318:1,mori1273:1)cham1317:1,(apur1254:1,(inap1243:1,paca1247:1)inap1242:1,(cara1273:1)uncl1523:1,(mach1268:1,(mash1270:1,(madr1239:1,urub1251:1)yine1238:1)piro1249:1)yine1239:1)puru1265:1)puru1269:1)sout3131:1)araw1281:1;"
araw1282,"(arua1263:1,((bana1307:1,east2800:1,jara1276:1)jama1261:1,((juru1257:1,tuku1255:1)culi1244:1,((inau1238:1,bomf1238:1)mamo1239:1,paui1240:1)deni1241:1)madi1263:1)madi1262:1,(paum1248:1,kuru1310:1,uaia1240:1)paum1247:1,suru1263:1)araw1282:1;"
