ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,provenance,Family_name,Family_level_ID,Language_level_ID,level,lineage
abad1241,Abadi,Papunesia,-9.03389,146.992,abad1241,,JLA_abad1241.tsv,Austronesian,aust1307,abad1241,language,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/peri1258/cent2070/west2850
abar1238,Mungbam,Africa,6.5805,10.2267,abar1238,,ML_abar1238.tsv,Atlantic-Congo,atla1278,abar1238,language,atla1278/volt1241/benu1247/bant1294/sout3152/yemn1234
abau1245,Abau,Papunesia,-3.97222,141.324,abau1245,,MD-GR-RSI_abau1245.tsv,Sepik,sepi1257,abau1245,language,sepi1257
abee1242,Abé,Africa,5.59682,-4.38497,abee1242,,RHE_abee1242.tsv,Atlantic-Congo,atla1278,abee1242,language,atla1278/volt1241/kwav1236/nyoa1234/agne1238
aben1249,Abenlen Ayta,Papunesia,15.4131,120.2,aben1249,,SR_aben1249.tsv,Austronesian,aust1307,aben1249,language,aust1307/mala1545/cent2080/samb1319/abel1234
abip1241,Abipon,South America,-29.0,-61.0,abip1241,,RHE_abip1241.tsv,Guaicuruan,guai1249,abip1241,language,guai1249/guai1250
abkh1244,Abkhaz,Eurasia,43.056218,41.159115,abkh1244,,BHR_abkh1244.tsv,Abkhaz-Adyge,abkh1242,abkh1244,language,abkh1242/abkh1243
abua1245,Abu' Arapesh,Papunesia,-3.461612,142.917031,abua1245,,JG_abua1245.tsv,Nuclear Torricelli,nucl1708,abua1245,language,nucl1708/komb1276/arap1279/mufi1239/buki1250
abui1241,Abui,Papunesia,-8.31058,124.588,abui1241,,MD-GR-RSI_abui1241.tsv,Timor-Alor-Pantar,timo1261,abui1241,language,timo1261/alor1249/alor1250
abun1252,Abun,Papunesia,-0.57073,132.416,abun1252,,JLA_abun1252.tsv,,,abun1252,language,
acha1249,Longchuan Achang,Eurasia,24.3479,97.7438,acha1249,,MY_acha1249.tsv,Sino-Tibetan,sino1245,acha1249,language,sino1245/burm1265/lolo1265/burm1266/nort2720/high1273/acha1252
acha1250,Achagua,South America,4.38649,-72.2005,acha1250,,SR_acha1250.tsv,Arawakan,araw1281,acha1250,language,araw1281/japu1236/nucl1764/nort3362/piap1247
ache1245,Acheron,Africa,10.8827,30.3187,ache1245,,SPI_ache1245.tsv,Narrow Talodi,narr1279,ache1245,language,narr1279/bura1298/ache1247
ache1246,Aché,South America,-25.5865,-56.4697,ache1246,,CB-PE-AS_ache1246.tsv,Tupian,tupi1275,ache1246,language,tupi1275/mawe1252/awet1245/tupi1276/sout3271/tupi1277
achi1256,Achi,North America,15.073,-90.3513,achi1256,,RHE_achi1256.tsv,Mayan,maya1287,achi1256,language,maya1287/core1254/quic1274/grea1276/core1251/quic1275
achi1257,Acehnese,Papunesia,3.90757,96.6032,achi1257,,MY_achi1257.tsv,Austronesian,aust1307,achi1257,language,aust1307/mala1545/mala1536/nort3170/cham1327
achu1247,Achumawi,North America,41.0979,-121.191,achu1247,,KS_achu1247.tsv,Palaihnihan,pala1350,achu1247,language,pala1350
achu1248,Achuar-Shiwiar,South America,-2.82646,-77.2641,achu1248,,MP_achu1248.tsv,Chicham,jiva1245,achu1248,language,jiva1245/shua1256
acol1236,Acoli,Africa,3.57738,32.5147,acol1236,,CAO_acol1236.tsv,Nilotic,nilo1247,acol1236,language,nilo1247/west2493/luob1235/sout2831
adan1251,Adang,Papunesia,-8.18958,124.448,adan1251,,EJ_adan1251.tsv,Timor-Alor-Pantar,timo1261,adan1251,language,timo1261/alor1249/alor1250/west2787/stra1245/adan1252
adny1235,Adnyamathanha,Australia,-30.1451,138.671,adny1235,,CB-PE-AS_adny1235.tsv,Pama-Nyungan,pama1250,adny1235,language,pama1250/aran1266/thur1253/core1260/nort2752
adon1237,Adonara,Papunesia,-8.32027,123.159,adon1237,,ML_adon1237.tsv,Austronesian,aust1307,adon1237,language,aust1307/mala1545/cent2237/cent2245/bima1248/flor1239/lama1293/nort3216
adze1240,Adzera,Papunesia,-6.39394,146.294,adze1240,,SR_adze1240.tsv,Austronesian,aust1307,adze1240,language,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/uppe1423
aeky1238,Aekyom,Papunesia,-5.88478,141.532,aeky1238,,HH_aeky1238.tsv,Kamula-Elevala,kamu1264,aeky1238,language,kamu1264/awin1249
afad1236,Afade,Africa,12.0551,14.6343,afad1236,,FS_afad1236.tsv,Afro-Asiatic,afro1255,afad1236,language,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268
afar1241,Afar,Africa,12.2281,41.8083,afar1241,,JG_afar1241.tsv,Afro-Asiatic,afro1255,afar1241,language,afro1255/cush1243/east2699/lowl1267/saho1245
aghe1239,Aghem,Africa,6.38956,10.0807,aghe1239,,JG_aghe1239.tsv,Atlantic-Congo,atla1278,aghe1239,language,atla1278/volt1241/benu1247/bant1294/sout3152/wide1239/narr1282/ring1243/cent2385/west2835/aghe1240/aghe1241
aghu1254,Aghu Tharnggalu,Australia,-13.735,142.426,aghu1254,,CB-PE-AS_aghu1254.tsv,Pama-Nyungan,pama1250,aghu1254,language,pama1250/pama1251/alay1234/thay1250
aghu1255,Aghu,Papunesia,-6.34674,140.043,aghu1255,,ER_aghu1255.tsv,Nuclear Trans New Guinea,nucl1709,aghu1255,language,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234
aghw1237,Aghwan,Eurasia,40.374444,47.126667,aghw1237,,NH_aghw1237.tsv,Nakh-Daghestanian,nakh1245,aghw1237,language,nakh1245/dagh1238/lezg1248/nucl1321/east2790/udia1235
agob1244,Agob-Ende-Kawam,Papunesia,-9.08521,142.532,agob1244,,KLL_agob1244.tsv,Pahoturi,paho1240,agob1244,language,paho1240
agua1253,Aguaruna,South America,-5.30044,-77.9218,agua1253,,CB-PE-AS_agua1253.tsv,Chicham,jiva1245,agua1253,language,jiva1245
agus1235,Agusan Manobo,Papunesia,8.62731,125.742,agus1235,,KSA_agus1235.tsv,Austronesian,aust1307,agus1235,language,aust1307/mala1545/grea1284/mano1276/cent2255/east2778/east2742/east2478
agut1237,Agutaynen,Papunesia,10.5328,119.655,agut1237,,RHA_agut1237.tsv,Austronesian,aust1307,agut1237,language,aust1307/mala1545/kala1389
aheu1239,Thavung,Eurasia,17.7655,104.229,aheu1239,,BHR_aheu1239.tsv,Austroasiatic,aust1305,aheu1239,language,aust1305/viet1250/chut1252
ahin1234,Ahin-Kayapa Kalanguya,Papunesia,16.321,120.90003,ahin1234,,FE_ahin1234.tsv,Austronesian,aust1307,ahin1234,language,aust1307/mala1545/nort3238/meso1254/sout3211/sout2907/west2550/nucl1542/kall1244
ahom1240,Ahom,Eurasia,27.2778,88.464,ahom1240,,JLA_ahom1240.tsv,Tai-Kadai,taik1256,ahom1240,language,taik1256/kamt1241/daic1238/daic1237/cent2251/wenm1239/sapa1255/sout3184/sout2743
aika1237,Aikanã,South America,-12.6695,-60.5353,aika1237,,MM_aika1237.tsv,,,aika1237,language,
aime1238,Aimele,Papunesia,-6.68656,142.656,aime1238,,JLA_aime1238.tsv,Bosavi,bosa1245,aime1238,language,bosa1245/bosa1246
ainu1240,Hokkaido Ainu,Eurasia,43.633654,142.46167,ainu1240,,MM_ainu1240.tsv,Ainu,ainu1252,ainu1240,language,ainu1252/hokk1250
aito1238,Aiton,Eurasia,26.5145,92.3169,aito1238,,JC_aito1238.tsv,Tai-Kadai,taik1256,aito1238,language,taik1256/kamt1241/daic1238/daic1237/cent2251/wenm1239/sapa1255/sout3184/sout2743/shan1276/assa1264
ajab1235,Aja (Benin),Africa,7.06634,1.64992,ajab1235,,RK_ajab1235.tsv,Atlantic-Congo,atla1278,ajab1235,language,atla1278/volt1241/kwav1236/gbee1241
ajas1235,Aja (South Sudan),Africa,8.58003,25.6122,ajas1235,,JLE_ajas1235.tsv,Kresh-Aja,kres1240,ajas1235,language,kres1240
ajie1238,Ajië,Papunesia,-21.3029,165.468,ajie1238,,HS_ajie1238.tsv,Austronesian,aust1307,ajie1238,language,aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/sout3313/mids1246/houa1234
ajyi1238,Ajyíninka Apurucayali,South America,-9.82364,-74.61947,ajyi1238,,CB-PE-AS_ajyi1238.tsv,Arawakan,araw1281,ajyi1238,language,araw1281/sout3131/kamp1244/prea1240/asha1244/asha1241/asha1242/ashe1271
akab1249,Akabea,Eurasia,12.3782,92.7818,akab1249,,RSC_akab1249.tsv,Great Andamanese,grea1241,akab1249,language,grea1241/sout2683
akaj1239,Akajeru,Eurasia,13.1525,92.9504,akaj1239,,HH_akaj1239.tsv,Great Andamanese,grea1241,akaj1239,language,grea1241/nort3276/nort2678/jeru1239
akan1250,Akan,Africa,6.34756,-1.33254,akan1250,,HS_akan1250.tsv,Atlantic-Congo,atla1278,akan1250,language,atla1278/volt1241/kwav1236/nyoa1234/poto1254/tano1248/cent2262/akan1251
akei1237,Akei,Papunesia,-15.6377,166.767,akei1237,,DB_akei1237.tsv,Austronesian,aust1307,akei1237,language,aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/west2845
akha1245,Akha,Eurasia,21.2309,100.964,akha1245,,BHR_akha1245.tsv,Sino-Tibetan,sino1245,akha1245,language,sino1245/burm1265/lolo1265/lolo1267/hani1249/biso1244/hani1250/haya1251/akha1246
akka1240,Akkadian,Eurasia,33.1,44.1,akka1240,,NL_akka1240.tsv,Afro-Asiatic,afro1255,akka1240,language,afro1255/semi1276/east2678
akla1241,Kailibo Aklanon,Papunesia,11.5543,122.354,akla1241,,RHA_akla1241.tsv,Austronesian,aust1307,akla1240,dialect,aust1307/mala1545/grea1284/cent2246/bisa1268/west2820/akla1240
akoo1248,Akoose,Africa,4.9243,9.65522,akoo1248,,HPG_akoo1248.tsv,Atlantic-Congo,atla1278,akoo1248,language,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/lund1274/leko1248/ngoe1239/mane1268/cent2284
akun1241,Akuntsu,South America,-12.8322,-60.9716,akun1241,,JLA_akun1241.tsv,Tupian,tupi1275,akun1241,language,tupi1275/tupa1251/nucl1716/akun1243
alab1237,Alabama,North America,30.76738,-94.62848,alab1237,,ER_alab1237.tsv,Muskogean,musk1252,alab1237,language,musk1252/alab1247
alab1254,Alaba-K'abeena,Africa,7.39014,38.1732,alab1254,,JG_alab1254.tsv,Afro-Asiatic,afro1255,alab1254,language,afro1255/cush1243/east2699/high1285/sida1247/hadi1241/kamb1318
alac1244,Alacatlatzala Mixtec,North America,17.25,-98.58,alac1244,,RHE_alac1244.tsv,Otomanguean,otom1299,alac1244,language,otom1299/east2557/amuz1253/mixt1422/mixt1423/mixt1427/guer1245
alag1248,Alagwa,Africa,-4.64148,35.7231,alag1248,,SR_alag1248.tsv,Afro-Asiatic,afro1255,alag1248,language,afro1255/cush1243/sout3054/west2720/nort3164
alam1246,Alamblak,Papunesia,-4.66307,143.316,alam1246,,MD-GR-RSI_alam1246.tsv,Sepik,sepi1257,alam1246,language,sepi1257/sepi1258/east2496
alba1269,Inland-Buhi-Daraga Bikol,Papunesia,13.1989,123.49,alba1269,,JLA_alba1269.tsv,Austronesian,aust1307,alba1269,language,aust1307/mala1545/grea1284/cent2246/biko1240/inla1266
aleu1260,Aleut,North America,52.1228,-174.29,aleu1260,,IC_aleu1260.tsv,Eskimo-Aleut,eski1264,aleu1260,language,eski1264/aleu1261
alor1247,Alorese,Papunesia,-8.20382,124.264,alor1247,,JLA_alor1247.tsv,Austronesian,aust1307,alor1247,language,aust1307/mala1545/cent2237/cent2245/bima1248/flor1239/lama1293
alse1251,Alsea-Yaquina,North America,44.408,-123.94,alse1251,,JLA_alse1251.tsv,,,alse1251,language,
aluk1238,Alu Kurumba,Eurasia,11.3456,76.7995,aluk1238,,JV_aluk1238.tsv,Dravidian,drav1251,aluk1238,language,drav1251/sout3133/sout3138/tami1291/bada1263/kann1259
alya1239,Alyawarr,Australia,-21.0427,136.835,alya1239,,CB-PE-AS_alya1239.tsv,Pama-Nyungan,pama1250,alya1239,language,pama1250/aran1266/aran1267/aran1263
amah1246,Amahuaca,South America,-10.2012,-72.3208,amah1246,,RHE_amah1246.tsv,Pano-Tacanan,pano1259,amah1246,language,pano1259/pano1256/main1279/pano1257/head1239
amam1246,Amam,Papunesia,-7.9,146.92,amam1246,,JLA_amam1246.tsv,Goilalan,goil1242,amam1246,language,goil1242/weri1254
amap1240,Ama (Papua New Guinea),Papunesia,-4.20192,141.658,amap1240,,CAO_amap1240.tsv,Left May,left1242,amap1240,language,left1242/nucl1244
amar1272,Amara,Papunesia,-5.55778,148.68,amar1272,,NP_amar1272.tsv,Austronesian,aust1307,amar1272,language,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874
amar1274,Amarakaeri,South America,-12.4931,-70.5533,amar1274,,EJ_amar1274.tsv,Harakmbut,hara1260,amar1274,language,hara1260
amas1236,Ama (Sudan),Africa,12.0993,29.4332,amas1236,,RK_amas1236.tsv,Nyimang,nyim1244,amas1236,language,nyim1244
ambo1250,Ambonese Malay,Papunesia,-3.71342,128.184,ambo1250,,JLA_ambo1250.tsv,Austronesian,aust1307,ambo1250,language,aust1307/mala1545/mala1536/nort3170/mala1538/vehi1234/east2743/ambo1253
ambu1247,Ambulas,Papunesia,-3.7801,143.059,ambu1247,,MD-GR-RSI_ambu1247.tsv,Ndu,nduu1242,ambu1247,language,nduu1242/nucl1642/ambu1246
amdo1237,Amdo Tibetan,Eurasia,34.5177,100.485,amdo1237,,JV_amdo1237.tsv,Sino-Tibetan,sino1245,amdo1237,language,sino1245/bodi1256/bodi1257/oldm1245/tibe1276
amha1245,Amharic,Africa,11.708182,39.543456,amha1245,,HS_amha1245.tsv,Afro-Asiatic,afro1255,amha1245,language,afro1255/semi1276/west2786/ethi1244/sout3078/tran1288/amha1244
amii1238,Ami,Australia,-13.5573,130.04,amii1238,,JG_amii1238.tsv,Western Daly,west2434,amii1238,language,west2434/waga1259/amem1235
amis1246,Amis,Papunesia,23.0917,121.348,amis1246,,ML_amis1246.tsv,Austronesian,aust1307,amis1246,language,aust1307/east2493/cent2103
amri1238,Amri Karbi,Eurasia,26.024,91.482,amri1238,,JK_amri1238.tsv,Sino-Tibetan,sino1245,amri1238,language,sino1245/kuki1245/karb1240
anci1242,Ancient Greek,Eurasia,39.8155,21.9129,anci1242,,KK_anci1242.tsv,Indo-European,indo1319,anci1242,language,indo1319/clas1257/grae1234/gree1276/east2798
anci1244,Ancient Hebrew,Eurasia,31.7761,35.1725,anci1244,,JLA_anci1244.tsv,Afro-Asiatic,afro1255,anci1244,language,afro1255/semi1276/west2786/cent2236/nort3165/cana1267/hebr1246
ando1256,Andoque,South America,-0.53751,-72.0869,ando1256,,CB-PE-AS_ando1256.tsv,,,ando1256,language,
anei1239,Aneityum,Papunesia,-20.1864,169.825,anei1239,,HDS_anei1239.tsv,Austronesian,aust1307,anei1239,language,aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/sout2868
anem1249,Anem,Papunesia,-5.54836,148.993,anem1249,,MD-GR-RSI_anem1249.tsv,,,anem1249,language,
anfi1235,Anfillo,Africa,8.568,34.647,anfi1235,,JLA_anfi1235.tsv,Ta-Ne-Omotic,gong1255,anfi1235,language,gong1255/gong1256
anga1288,Angami Naga,Eurasia,25.6841,93.8668,anga1288,,JG_anga1288.tsv,Sino-Tibetan,sino1245,anga1288,language,sino1245/kuki1245/anga1312/anga1286/anga1244/anga1287
anga1290,Angaataha,Papunesia,-7.15012,146.352,anga1290,,JG_anga1290.tsv,Angan,anga1289,anga1290,language,anga1289
ango1257,Angosturas Tunebo,South America,6.54198,-71.9212,ango1257,,RHE_ango1257.tsv,Chibchan,chib1249,ango1257,language,chib1249/core1252/magd1236/sout3015/tune1260
anin1240,Anindilyakwa,Australia,-13.99904,136.6415,anin1240,,MD-GR-RSI_anin1240.tsv,Gunwinyguan,gunw1250,anin1240,language,gunw1250/gunw1253/wubu1239
anta1255,Antankarana Malagasy,Africa,-13.2164,49.2402,anta1255,,JK_anta1255.tsv,Austronesian,aust1307,anta1255,language,aust1307/mala1545/basa1291/grea1283/sout2919/mala1537/nort3196/nort3207
anua1242,Anuak,Africa,7.57714,34.0267,anua1242,,SVM_anua1242.tsv,Nilotic,nilo1247,anua1242,language,nilo1247/west2493/luob1235/nort2814
anuf1239,Anufo,Africa,10.2839,0.56021,anuf1239,,JV_anuf1239.tsv,Atlantic-Congo,atla1278,anuf1239,language,atla1278/volt1241/kwav1236/nyoa1234/poto1254/tano1248/cent2262/biaa1238/nort2767
anut1237,Anuta,Papunesia,-11.61,169.85,anut1237,,NP_anut1237.tsv,Austronesian,aust1307,anut1237,language,aust1307/mala1545/cent2237/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485
anuu1241,Anu-Hkongso,Eurasia,21.5,93.05,anuu1241,,JG_anuu1241.tsv,Sino-Tibetan,sino1245,anuu1241,language,sino1245/mrui1235
aona1235,Ao Naga,Eurasia,26.3241,94.3824,aona1235,,JK_aona1235.tsv,Sino-Tibetan,sino1245,aona1235,language,sino1245/kuki1245/anga1312/aoic1235
aoua1234,A'ou,Eurasia,26.8,105.85,aoua1234,,JLA_aoua1234.tsv,Tai-Kadai,taik1256,aoua1234,language,taik1256/kada1291/sout3143/west2798/gela1265/nort3188/ahou1236
apat1240,Apatani,Eurasia,27.1933,93.7284,apat1240,,JK-EJ_apat1240.tsv,Sino-Tibetan,sino1245,apat1240,language,sino1245/macr1268/tani1259/prew1234/west2797
apin1244,Apinayé,South America,-6.10774,-47.6315,apin1244,,HPG_apin1244.tsv,Nuclear-Macro-Je,nucl1710,apin1244,language,nucl1710/jeee1236/jese1235/core1264
apma1240,Apma,Papunesia,-15.8559,168.189,apma1240,,JLA_apma1240.tsv,Austronesian,aust1307,apma1240,language,aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/sout3188
apma1241,Ap Ma,Papunesia,-4.35147,144.085,apma1241,,JLA_apma1241.tsv,Keram,kera1258,apma1241,language,kera1258/east2864
apol1242,Apolista,South America,-14.83,-68.66,apol1242,,SD_apol1242.tsv,Arawakan,araw1281,apol1242,language,araw1281/sout3131/boli1260/uncl1518
apur1254,Apurinã,South America,-8.21692,-66.7714,apur1254,,SR_apur1254.tsv,Arawakan,araw1281,apur1254,language,araw1281/sout3131/puru1269/puru1265
arab1267,Arabana,Australia,-28.705,135.449,arab1267,,CB-PE-AS_arab1267.tsv,Pama-Nyungan,pama1250,arab1267,language,pama1250/karn1253/palk1239/arab1266
arak1252,Araki,Papunesia,-15.632997,166.952542,arak1252,,GB_arak1252.tsv,Austronesian,aust1307,arak1252,language,aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/sout3339/arak1257
aram1253,Arammba,Papunesia,-8.29593,141.445,aram1253,,MD-GR-RSI_aram1253.tsv,Yam,more1255,aram1253,language,more1255/more1256/tond1250
arao1248,Araona,South America,-12.4242,-67.7293,arao1248,,JG_arao1248.tsv,Pano-Tacanan,pano1259,arao1248,language,pano1259/taca1255/taka1267/taka1268/arao1247
arap1274,Arapaho,North America,43.3879,-108.81,arap1274,,HPG_arap1274.tsv,Algic,algi1248,arap1274,language,algi1248/algo1256/algo1257/arap1273/arap1280
araw1273,Araweté,South America,-4.90246,-52.5001,araw1273,,JM_araw1273.tsv,Tupian,tupi1275,araw1273,language,tupi1275/mawe1252/awet1245/tupi1276/subg1264/araw1290
araw1276,Lokono,South America,5.64295,-56.9243,araw1276,,MM_araw1276.tsv,Arawakan,araw1281,araw1276,language,araw1281/cari1281/anti1247/iner1234
arbo1245,Arbore,Africa,4.92183,36.7986,arbo1245,,JLA_arbo1245.tsv,Afro-Asiatic,afro1255,arbo1245,language,afro1255/cush1243/east2699/lowl1267/sout3055/main1283/omot1245/west2723
arch1244,Archi,Eurasia,42.3239,46.8267,arch1244,,NH_arch1244.tsv,Nakh-Daghestanian,nakh1245,arch1244,language,nakh1245/dagh1238/lezg1248
area1240,'Are'are,Papunesia,-9.20699,161.158,area1240,,DP_area1240.tsv,Austronesian,aust1307,area1240,language,aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/sout3198
