Grambank_ID	sahul_abbrev	Feature	Relevant unit(s)	Function	Form	Feature patron	Clarifying Comments	Possible Values	Value	Grambank_ID_desc	Definition	main_domain	word order	ENumLab	ELab	Eris_Categories
GB303	NA	"Is there a phonologically free antipassive marker (""particle"" or ""auxiliary"")?"	particle, auxiliary	antipassive, valency change, derivation, valency decrease	particle, auxiliary	Jakob	Antipassive markers detransitivize verbs by removing the P argument or realizing it as an oblique complement. In languages that have ergative alignment, this means that the ergative argument (A) becomes absolutive (S). Antipassive markers often also have other detransitivizing functions, such as reflexivization, reciprocal, passive, or anticausative.  In practice, it is possible to define this feature as targeting any intransitivising marker that is not a reflexive, reciprocal, passive, or anticausative marker. This question targets phonologically independent particles or auxiliaries marking antipassive clauses.	1: present, 0: absent	NA	GB303 AntipassiveFree	NA	clause	NA	31	Clause SubCo 2	31Clause SubCo 2
GB149	morphinverse	Is there a morphologically marked inverse on verbs?	verb, index	argument marking, core	NA	Jakob	Inverse systems (as defined in this project) are based on an animacy or person hierarchy (e.g. first/second person > third person > cats > dogs > other animals > inanimates). Languages can have markers on transitive verbs that indicate whether the agent(-like argument) of the clause is higher on this hierarchy than the patient(-like argument) [= direct marker], or whether the reverse is true, i.e. that the patient outranks the agent on the hierarchy [= inverse marker]. An example would be 'man INV-bite dog' to mean 'the dog bit the man'. Note that in some languages, there are portmanteau morphemes that both function as a person index on verbs and as direct/inverse markers, so different person indexes are used based on where the agent and patient are located relative to each other on the hierarchy. This counts as a 1 for this question. This question targets phonologically bound inverse markers on lexical verbs.	1: present, 0: absent	NA	GB149 InverseBoundV	NA	verbal domain	NA	16	verb weirdos 1	16verb weirdos 1
GB070	npcase	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	noun, NP, case marker	argument marking, core arguments	declension, flagging	Jakob	Morphological case involves any type of case marking (or flagging) that is phonologically bound (affixes, clitics, tone, alternation, vowel lengthening, ...). Core arguments are those having S, A or P function. If a bound marker distinguishes S from non-S NPs, this counts as a 1. Optional marking and marking with portmanteau morphemes (e.g. a marker both indicates that a noun phrase is plural and that it has P function) also count.	1: present, 0: absent	NA	GB070 CoreCaseNoun	Is there case marking for core nominal NPs (i.e., S, A or O function)?	nominal domain	NA	10	Nom Core Morph 1	10Nom Core Morph 1
GB071	pronouncase	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	pronoun, case marker	argument marking, core arguments	declension, flagging	Jakob	This question is about independent pronouns only; indexes are irrelevant here. Morphological case involves any type of case marking (or flagging) that is phonologically bound (affixes, clitics, tone, alternation, vowel lengthening, ...). Core arguments are those having S, A or P function. If a bound marker distinguishes S from non-S pronouns, this counts as a 1. Optional marking and marking with portmanteau morphemes (e.g. a marker both indicates that a noun phrase is plural and that it has P function) also count.	1: present, 0: absent	NA	GB071 CoreCasePRO	Is there case marking for core pronouns?	pronoun	NA	6	PRO5	6PRO5
GB408	NA	Is there any accusative alignment of flagging?	noun, NP, case marker, adposition	argument marking, core arguments	flagging, declension	Alena	"Do S, A, and P arguments differ in terms of flagging (case and adposition marking)? Reply with ""1"" if any of the flagging subsystems (e.g. only nouns or only pronouns, or a particular tense or person) shows accusative alignment.<CR><CR>Although alignment types are occasionally associated with entire languages (e.g. when one says that ""Dyirbal is an ergative language""), they in fact apply only to individual constructions. The constructions which can be observed in almost every clause are  flagging and indexing.<CR><CR>Flagging is a relatively new term (introduced in Haspelmath 2005). It covers any kind of argument marking on the argument itself. It includes what is traditionally referred to as case or adposition marking or by a more general term of *dependent marking* (on the clause level) (Nichols 1986).<CR><CR>Indexing (covered in GB089-GB094) is the marking of arguments on the verb. It is often referred to as agreement or cross-referencing or pronominal marking or head marking on the clause level in Nichols' terms."	1: present, 0: absent	NA	GB408 Accusative	NA	nominal domain	NA	10	Nom Core Morph 3	10Nom Core Morph 3
GB409	NA	Is there any ergative alignment of flagging?	noun, NP, case marker, adposition	argument marking, core arguments	flagging, declension	Alena	"Do S, P, and A arguments differ in terms of flagging (case and adposition marking)? Reply with ""1"" if any of the flagging subsystems (e.g. a particular tense or person) shows ergative alignment.<CR><CR>Although alignment types are occasionally associated with entire languages (e.g. when one says that ""Dyirbal is an ergative language""), they in fact apply only to individual constructions. The constructions which can be observed in almost every clause are  flagging and indexing.<CR><CR>Flagging is a relatively new term (introduced in Haspelmath 2005). It covers any kind of argument marking on the argument itself. It includs what is traditionally referred to as case or adposition marking or by a more general term of *dependent marking* (on the clause level) (Nichols 1986).<CR><CR>Indexing (covered in GB089-GB094) is the marking of arguments on the verb. It is often referred to as agreement or cross-referencing or pronominal marking or head marking on the clause level in Nichols' terms."	1: present, 0: absent	NA	GB409 Ergative	NA	nominal domain	NA	10	Nom Core Morph 4	10Nom Core Morph 4
GB410	NA	Is there any neutral alignment of flagging?	noun, NP, case marker, adposition	argument marking, core arguments	flagging, declension	Alena	"Are S, A, and P arguments flagged identically? In case of split systems, reply with ""1"" if any of the subsystems (e.g. a particular tense or person) shows neutral alignment. Reply with ""1"" if none of the three arguments is overtly flagged (i.e. if all three arguments are zero-marked).<CR><CR>Although alignment types are occasionally associated with entire languages (e.g. when one says that ""Dyirbal is an ergative language""), they in fact apply only to individual constructions. The constructions which can be observed in almost every clause are  flagging and indexing.<CR><CR>Flagging is a relatively new term (introduced in Haspelmath 2005). It covers any kind of argument marking on the argument itself. It includs what is traditionally referred to as case or adposition marking or by a more general term of *dependent marking* (on the clause level) (Nichols 1986).<CR><CR>Indexing (covered in GB089-GB094) is the marking of arguments on the verb. It is often referred to as agreement or cross-referencing or pronominal marking or head marking on the clause level in Nichols' terms."	1: present, 0: absent	NA	GB410 NeutralAlign	NA	nominal domain	NA	10	Nom Core Morph 5	10Nom Core Morph 5
GB074	prepositions	Are there prepositions?	noun, NP, case marker, adposition	argument marking, core arguments, oblique	word order, flagging	Jakob	Prepositions mark core or oblique noun phrases. They precede the noun phrase they occur with. Proclitics (case markers that only occur noun phrase initially) count as prepositions in Grambank. This means that phonological boundness is not relevant to this question. Inpositions (which occur somewhere in between words in a noun phrase) do not count as prepositions. If there is only one preposition, this is enough for a 1 here.	1: present, 0: absent	NA	GB074 Prepositions	Are there prepositions?	nominal domain	word order	12	NP8	12NP8
GB075	postpositions	Are there postpositions?	noun, NP, case marker, adposition	argument marking, core arguments, oblique	word order, flagging	Jakob	Postpositions mark core or oblique noun phrases. They follow the noun phrase they occur with. Enclitics (markers that only occur noun phrase finally) count as postpositions in Grambank. This means that phonological boundness is not relevant to this question. Inpositions (which occur somewhere in between words in a noun phrase) do not count as postpositions. If there is only one postposition, this is enough for a 1 here.	1: present, 0: absent	NA	GB075 Postpositions	Are there postpositions?	nominal domain	word order	12	NP9	12NP9
GB080	vsuffixaso	Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	verb, index	argument marking, core arguments, oblique, TAM, negation, tense, aspect, mood, modality, valency change	conjugation, suffixation	Harald	"The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expressing more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. an affix that makes a verb into an instrumental noun for example would not count. This feature is not logically triggered by the following features, but if you have coded ""1"" for either of these you are advised to consider whether it would also result in a ""1"" for this feature: 152, 151, 149, 82, 83, 84, 107, 104, 103, 147, 148, 114 and 115. The reason why there is no strict logical dependency is because while they all deal with markings on the verb, these can theoretically be other markings than prefixes, proclitics, enclitics or suffixes (reduplication, tone and suppletion). Since this kind of marking is rare, we recommend all coders being aware of this link even though it is not technically a strict dependency."	1: present, 0: absent	NA	GB080 VSuffixing	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	verbal domain	NA	14	verb arguments 8	14verb arguments 8
