Grambank_ID	Feature	Chunking 2.0
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	argument marking (core)
GB408	Is there any accusative alignment of flagging?	argument marking (core)
GB409	Is there any ergative alignment of flagging?	argument marking (core)
GB410	Is there any neutral alignment of flagging?	argument marking (core)
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	argument marking (core)
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	argument marking (core)
GB096	Are variations in marking strategies of core participants based on verb classes?	argument marking (core)
GB098	Are variations in marking strategies of core participants based on person distinctions?	argument marking (core)
GB109	Is there verb suppletion for participant number?	argument marking (core)
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	argument marking (core)
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	argument marking (core)
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	argument marking (core)
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	argument marking (core)
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	argument marking (core)
GB149	Is there a morphologically marked inverse on verbs?	argument marking (core)
GB151	"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?"	argument marking (core)
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	argument marking (core)
GB522	"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?"	argument marking (core)
GB177	Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?	argument marking (core)
GB099	Can verb stems alter according to the person of a core participant?	argument marking (core)
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	argument marking (non-core)
GB027	Are nominal conjunction and comitative expressed by different elements?	argument marking (non-core)
GB074	Are there prepositions?	argument marking (non-core)
GB075	Are there postpositions?	argument marking (non-core)
GB079	Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	argument marking (non-core)
GB080	Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	argument marking (non-core)
GB073	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	argument marking (non-core)
GB105	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	argument marking (non-core)
GB108	Is there directional or locative morphological marking on verbs?	argument marking (non-core)
GB103	Is there a benefactive applicative marker on the verb (including indexing)?	argument marking (non-core)
GB104	Is there an instrumental applicative marker on the verb (including indexing)?	argument marking (non-core)
GB116	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	argument marking (non-core)
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	class
GB058	Are there possessive classifiers?	class
GB321	Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?	class
GB051	Is there a gender/noun class system where sex is a factor in class assignment?	class
GB052	Is there a gender/noun class system where shape is a factor in class assignment?	class
GB053	Is there a gender/noun class system where animacy is a factor in class assignment?	class
GB054	Is there a gender/noun class system where plant status is a factor in class assignment?	class
GB314	Can augmentative meaning be expressed productively by a shift of gender/noun class?	class
GB315	Can diminutive meaning be expressed productively by a shift of gender/noun class?	class
GB192	Is there a gender system where a noun's phonological properties are a factor in class assignment?	class
GB170	Can an adnominal property word agree with the noun in gender/noun class?	class
