Grambank ID,Feature,ENumLab,ELab,Eri's Categories
GB020,Are there definite or specific articles?,1,ART1,1ART1
GB021,Do indefinite nominals commonly have indefinite articles?,1,ART2,1ART2
GB022,Are there prenominal articles?,1,ART3,1ART3
GB023,Are there postnominal articles?,1,ART4,1ART4
GB186,Can an article agree with the noun in number?,1,ART5,1ART5
GB035,Are there three or more distance contrasts in demonstratives?,2,DEM1,2DEM1
GB036,Do demonstratives show an elevation distinction?,2,DEM2,2DEM2
GB037,Do demonstratives show a visible-nonvisible distinction?,2,DEM3,2DEM3
GB038,Are there demonstrative classifiers?,2,DEM4,2DEM4
GB185,Can an adnominal demonstrative agree with the noun in number?,2,DEM5,2DEM5
GB025,What is the order of adnominal demonstrative and noun?,2,DEM6,2DEM6
GB026,Can adnominal property words occur discontinuously?,3,ADJ1,3ADJ1
GB068,"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",3,ADJ2,3ADJ2
GB069,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",3,ADJ3,3ADJ3
GB160,Are elements apart from verbs or nouns reduplicated?,3,ADJ4,3ADJ4
GB275,Is there a bound comparative degree marker on the property word in a comparative construction?,3,ADJ5,3ADJ5
GB276,Is there a non-bound comparative degree marker modifying the property word in a comparative construction?,3,ADJ6,3ADJ6
GB170,Can an adnominal property word agree with the noun in gender/noun class?,3,ADJ7,3ADJ7
GB184,Can an adnominal property word agree with the noun in number?,3,ADJ8,3ADJ8
GB193,What is the order of adnominal property word and noun?,3,ADJ9,3ADJ9
GB172,Can an article agree with the noun in gender/noun class?,4,Noun Class1,4Noun Class1
GB051,Is there a noun class/gender system where sex is a factor in class assignment?,4,Noun Class2,4Noun Class2
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,4,Noun Class3,4Noun Class3
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,4,Noun Class4,4Noun Class4
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,4,Noun Class5,4Noun Class5
GB171,Can an adnominal demonstrative agree with the noun in gender/noun class?,4,Noun Class6,4Noun Class6
GB314,Can augmentative meaning be expressed productively by a shift of gender/noun class?,4,Noun Class7,4Noun Class7
GB315,Can diminutive meaning be expressed productively by a shift of gender/noun class?,4,Noun Class8,4Noun Class8
GB192,Is there a gender system where a noun's phonological properties are a factor in class assignment?,4,Noun Class9,4Noun Class9
GB321,Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?,4,Noun Class10,4Noun Class10
GB198,Can an adnominal numeral agree with the noun in gender/noun class?,4,Noun Class11,4Noun Class11
GB057,Are there numeral classifiers?,5,QUANT1,5QUANT1
GB203,What is the order of the adnominal collective universal quantifier ('all') and the noun?,5,QUANT2,5QUANT2
GB204,Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?,5,QUANT3,5QUANT3
GB333,Is there a decimal numeral system?,5,QUANT4,5QUANT4
GB334,Is there synchronic evidence for any element of a quinary numeral system?,5,QUANT5,5QUANT5
GB335,Is there synchronic evidence for any element of a vigesimal numeral system?,5,QUANT6,5QUANT6
GB336,Is there a body-part tallying system?,5,QUANT7,5QUANT7
GB028,Is there an inclusive/exclusive distinction?,6,PRO1,6PRO1
GB415,Is there a politeness distinction in 2nd person forms?,6,PRO2,6PRO2
GB030,Is there a gender distinction in independent 3rd person pronouns?,6,PRO3,6PRO3
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,6,PRO4,6PRO4
GB071,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,6,PRO5,6PRO5
GB073,Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?,6,PRO6,6PRO6
GB167,Is there a logophoric pronoun?,6,PRO7,6PRO7
GB305,Is there a phonologically independent reflexive pronoun?,6,PRO8,6PRO8
GB306,Is there a phonologically independent non-bipartite reciprocal pronoun?,6,PRO9,6PRO9
GB196,Is there a male/female distinction in 2nd person independent pronouns?,6,PRO10,6PRO10
GB197,Is there a male/female distinction in 1st person independent pronouns?,6,PRO11,6PRO11
GB522,"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?",6,PRO12,6PRO12
GB430,Can adnominal possession be marked by a prefix on the possessor?,7,POSS1,7POSS1
GB431,Can adnominal possession be marked by a prefix on the possessed noun?,7,POSS2,7POSS2
GB432,Can adnominal possession be marked by a suffix on the possessor?,7,POSS3,7POSS3
GB433,Can adnominal possession be marked by a suffix on the possessed noun?,7,POSS4,7POSS4
GB058,Are there possessive classifiers?,7,POSS5,7POSS5
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,7,POSS6,7POSS6
GB313,Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?,7,POSS7,7POSS7
GB250,Can predicative possession be expressed with a transitive 'habeo' verb?,8,AD POSS1,8AD POSS1
GB252,Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?,8,AD POSS2,8AD POSS2
GB253,Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?,8,AD POSS3,8AD POSS3
GB254,Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?,8,AD POSS4,8AD POSS4
GB256,Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?,8,AD POSS5,8AD POSS5
GB039,Is there nonphonological allomorphy of noun number markers?,9,Noun Num 1,9Noun Num 1
GB041,Are there several nouns (more than three) which are suppletive for number?,9,Noun Num 2,9Noun Num 2
GB042,Is there productive overt morphological singular marking on nouns?,9,Noun Num 3,9Noun Num 3
GB043,Is there productive morphological dual marking on nouns?,9,Noun Num 4,9Noun Num 4
GB044,Is there productive morphological plural marking on nouns?,9,Noun Num 5,9Noun Num 5
GB046,Is there an associative plural marker for nouns?,9,Noun Num 6,9Noun Num 6
GB165,Is there productive morphological trial marking on nouns?,9,Noun Num 7,9Noun Num 7
GB166,Is there productive morphological paucal marking on nouns?,9,Noun Num 8,9Noun Num 8
GB070,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,10,Nom Core Morph 1,10Nom Core Morph 1
GB072,Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?,10,Nom Core Morph 2,10Nom Core Morph 2
GB408,Is there any accusative alignment of flagging?,10,Nom Core Morph 3,10Nom Core Morph 3
GB409,Is there any ergative alignment of flagging?,10,Nom Core Morph 4,10Nom Core Morph 4
GB410,Is there any neutral alignment of flagging?,10,Nom Core Morph 5,10Nom Core Morph 5
GB105,Can the recipient in a ditransitive construction be marked like the monotransitive patient?,10,Nom Core Morph 6,10Nom Core Morph 6
GB159,Are nouns reduplicated?,11,Nom Morph 1,11Nom Morph 1
GB027,Are nominal conjunction and comitative expressed by different elements?,11,Nom Morph 2,11Nom Morph 2
GB187,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?,11,Nom Morph 3,11Nom Morph 3
GB188,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?,11,Nom Morph 4,11Nom Morph 4
GB316,Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?,12,NP1,12NP1
GB317,Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?,12,NP2,12NP2
GB318,Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?,12,NP3,12NP3
GB319,Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?,12,NP4,12NP4
GB320,Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?,12,NP5,12NP5
GB301,Is there an inclusory construction?,12,NP6,12NP6
GB065,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?,12,NP7,12NP7
GB074,Are there prepositions?,12,NP8,12NP8
GB075,Are there postpositions?,12,NP9,12NP9
GB024,What is the order of numeral and noun in the NP?,12,NP10,12NP10
GB129,"Is there a notably small number, i.e. about 100 or less, of verb roots in the language?",13,verb 1,13verb 1
GB401,Is there a class of patient-labile verbs?,13,verb 2,13verb 2
GB402,Does the verb for 'see' have suppletive verb forms?,13,verb 3,13verb 3
GB403,Does the verb for 'come' have suppletive verb forms?,13,verb 4,13verb 4
GB300,Does the verb for 'give' have suppletive verb forms?,13,verb 5,13verb 5
GB081,Is there productive infixation in verbs?,13,verb 6,13verb 6
GB111,Are there conjugation classes?,13,verb 7,13verb 7
GB122,Is verb compounding a regular process?,13,verb 8,13verb 8
GB158,Are verbs reduplicated?,13,verb 9,13verb 9
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?,14,verb arguments 1,14verb arguments 1
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?,14,verb arguments 2,14verb arguments 2
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?,14,verb arguments 3,14verb arguments 3
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?,14,verb arguments 4,14verb arguments 4
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?,14,verb arguments 5,14verb arguments 5
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?,14,verb arguments 6,14verb arguments 6
GB079,"Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or P (do include portmanteau: A & S + TAM)?",14,verb arguments 7,14verb arguments 7
GB080,"Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or P (do include portmanteau: A & S + TAM)?",14,verb arguments 8,14verb arguments 8
GB113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,14,verb arguments 9,14verb arguments 9
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,14,verb arguments 10,14verb arguments 10
GB096,Are variations in marking strategies of core participants based on verb classes?,14,verb arguments 11,14verb arguments 11
GB098,Are variations in marking strategies of core participants based on person distinctions?,14,verb arguments 12,14verb arguments 12
GB099,Can verb stems alter according to the person of a core participant?,14,verb arguments 13,14verb arguments 13
GB109,Is there verb suppletion for participant number?,14,verb arguments 14,14verb arguments 14
GB110,Is there verb suppletion for tense or aspect?,14,verb arguments 15,14verb arguments 15
GB103,Is there a benefactive applicative marker on the verb (including indexing)?,15,verb valency 1,15verb valency 1
GB104,Is there an instrumental applicative marker on the verb (including indexing)?,15,verb valency 2,15verb valency 2
GB114,Is there a phonologically bound reflexive marker on the verb?,15,verb valency 3,15verb valency 3
GB115,Is there a phonologically bound reciprocal marker on the verb?,15,verb valency 4,15verb valency 4
GB147,Is there a morphological passive marked on the lexical verb?,15,verb valency 5,15verb valency 5
GB148,Is there a morphological antipassive marked on the lexical verb?,15,verb valency 6,15verb valency 6
GB155,Are causatives formed by affixes or clitics on verbs?,15,verb valency 7,15verb valency 7
GB108,Is there directional or locative morphological marking on verbs?,16,verb obliques and adjuncts 1,16verb obliques and adjuncts 1
GB149,Is there a morphologically marked inverse on verbs?,16,verb weirdos 1,16verb weirdos 1
GB151,"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?",16,verb weirdos 2,16verb weirdos 2
GB152,Is there a morphologically marked distinction between simultaneous and sequential clauses?,16,verb weirdos 3,16verb weirdos 3
GB177,"Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?",16,verb weirdos 4,16verb weirdos 4
GB082,Is there overt morphological marking of present tense on verbs?,17,verb tense 1,17verb tense 1
GB083,Is there overt morphological marking on the verb dedicated to past tense?,17,verb tense 2,17verb tense 2
GB309,"Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?",17,verb tense 3,17verb tense 3
GB084,Is there overt morphological marking on the verb dedicated to future tense?,17,verb tense 4,17verb tense 4
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,18,verb aspect 1,18verb aspect 1
GB312,Is there overt morphological marking on the verb dedicated to mood?,18,verb aspect 2,18verb aspect 2
GB123,Are there verb-adjunct (aka light-verb) constructions?,19,aux and light verbs 1,19aux and light verbs 1
GB119,"Can mood be marked by an inflecting word (""auxiliary verb"")?",19,aux and light verbs 2,19aux and light verbs 2
GB120,"Can aspect be marked by an inflecting word (""auxiliary verb"")?",19,aux and light verbs 3,19aux and light verbs 3
GB121,"Can tense be marked by an inflecting word (""auxiliary verb"")?",19,aux and light verbs 4,19aux and light verbs 4
GB117,Is there a copula for predicate nominals?,20,COPS 1,20COPS 1
GB126,Is there an existential verb?,20,COPS 2,20COPS 2
GB130,What is the pragmatically unmarked order of S and V in intransitive clauses?,21,Intrn1,21Intrn1
GB124,Is incorporation of nouns into verbs a productive intransitivizing process?,21,Intrn2,21Intrn2
GB118,Are there serial verb constructions?,22,Verb Clause 1,22Verb Clause 1
GB131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,22,Verb Clause 2,22Verb Clause 2
GB132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,22,Verb Clause 3,22Verb Clause 3
