Feature_ID	Feature	Possible Values	Language_ID	Value	Source	Comment	Contributed_Datapoints	Clarifying comments	Relevant unit(s)	Function	Form	Patron
GB020	Are there definite or specific articles?	1: present, 0: absent						An article is a marker that accompanies the noun and expresses notions such as (non-)specificity and (in)definiteness. Sometimes these notions of specificity and definiteness are summed up in the term 'identifiability'. The formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone. Articles are different from demonstratives in that demonstratives occur in a paradigm of markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum, making it hard to define discrete categories, but to qualify as an article a marker should be used in some cases to express definiteness without also expressing a spatial deictic meaning.	article, NP, demonstrative	definiteness, deixis	declension, particle, paradigm	Jay Latarche and Jeremy Collins
GB021	Do indefinite/non-specific nominals commonly have indefinite/non-specific articles?	1: present, 0: absent						For this feature, we need explicit support that indefinite/non-specific NPs commonly occur with an indefinite/non-specific article. Three or more examples of indefinite/non-specific nominals occurring with an indefinite/non-specific article is sufficient to code 1.  An indefinite article is a marker that accompanies the indefinite noun and expresses notions such as non-specificity and indefiniteness. Sometimes these notions of non-specificity and indefiniteness are summed up in the term ‘identifiability’. A language does not necessarily have both a non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position.  The formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone. Articles are different from demonstratives in that demonstratives occur in a paradigm of markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum, making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often [obligatory](https://github.com/grambank/grambank/wiki/Obligatoriness) in certain contexts that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning ‘a certain’. As articles necessarily accompany nouns, it is in these cases that it is necessary to investigate whether the marker can occur independently or not; if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns and demonstratives, and also with classifiers.	article, NP, demonstrative	definiteness, deixis	declension, particle, paradigm	Jay Latarche and Jeremy Collins
GB022	Are there prenominal articles?	1: present, 0: absent						All questions concerning the order of elements aim to capture the pragmatically unmarked order. Articles cover both definite or indefinite articles as defined in [GB020](https://github.com/grambank/grambank/wiki/GB020) and [GB021](https://github.com/grambank/grambank/wiki/GB021) respectively. In order to answer 1 for this feature, the markers' functions need to meet one of those definitions, so 1 should also have been answered for [GB020](https://github.com/grambank/grambank/wiki/GB020) or [GB021](https://github.com/grambank/grambank/wiki/GB021).	article, NP, demonstrative	definiteness, deixis	word order, declension, particle, paradigm, prefixation	Jay Latarche and Jeremy Collins
GB023	Are there postnominal articles?	1: present, 0: absent						All questions concerning the order of elements aim to capture the pragmatically unmarked order. Articles cover both definite or indefinite articles as defined in [GB020](https://github.com/grambank/grambank/wiki/GB020) and [GB021](https://github.com/grambank/grambank/wiki/GB021) respectively. In order to answer 1 for this feature, the markers' functions need to meet one of those definitions, so 1 should also have been answered for [GB020](https://github.com/grambank/grambank/wiki/GB020) or [GB021](https://github.com/grambank/grambank/wiki/GB021).	article, NP, demonstrative	definiteness, deixis	word order, declension, particle, paradigm, suffixation	Jay Latarche and Jeremy Collins
GB024	What is the order of numeral and noun in the NP?	multistate 1: Num-N; 2: N-Num; 3: both.						This feature focuses on the order of cardinal numerals (not ordinal numerals) and nouns in quantified noun phrases. In some languages only one order (Numeral-Noun or Noun-Numeral) is possible. In other languages both orders may be possible. This can take the form of free variation (where Numeral-Noun and Noun-Numeral order can occur interchangeably). The order may also depend on some other grammatical category which is neutral with respect to pragmaticality (e.g. definiteness). If the order depends on the noun, consider only the orders that apply to an open class of nouns and disregard orders that are restricted to a specific closed class of nouns.	numeral, NP	quantification, attribution	word order	Hannah J. Haynie
GB025	What is the order of adnominal demonstrative and noun?	multistate 1: Dem-N; 2: N-Dem; 3: both.						This feature is concerned with the order of the noun and adnominal demonstratives (i.e. demonstratives that modify the noun). There are three possible values to code: 1, before the noun, 2, after the noun, or 3, both orders are possible. Like all questions concerning the order of elements, only the pragmatically unmarked orders are targeted.	demonstrative, NP	deixis, attribution	word order	Jay Latarche and Jeremy Collins
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent						This feature describes an adnominal property word denoting core adjectival concepts such as shape, value, dimension, age, color (at a minimum -- many other meanings are possible) which can be separated from the noun it modifies by some element that is not part of the nominal phrase. For example, can you say ***the man** is running **big*** to mean ‘**the big man** is running’?  Typically a language which allows this has extensive [agreement](https://github.com/grambank/grambank/wiki/Agreement) systems so that you can still work out what modifies what in the NP without them being adjacent (e.g. the ‘Australian type’). NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here. This features aims specifically to capture the phenomenon of a single NP whose head and modifiers can be separated. Examples of the type *I painted the house red* or *I saw the boy big* are not necessarily discontinuous, but most likely resultative or contrastive (*I saw the boy big* [as opposed to before when he was small]). These should be disregarded for the purposes of this feature.	adjective, clause, NP	attribution	word order, special construction	Hannah J. Haynie
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent						Is there a difference between the marking of NP coordination (*John **and** Mary went to market.*) and the marking of comitative phrases (*John **with** Mary went to market.*)? In some languages the only way to coordinate noun phrases is with a comitative phrase, i.e. the only way to say ‘X **and** Y’ is ‘X **with** Y’. To see whether an element is comitative or coordinating you can check case marking and agreement. For example, if X is the element in question and in the dative you get ‘John-DAT X Mary-DAT’, then X is likely coordinating. If you get ‘John-DAT X Mary’, X is likely comitative. If there is agreement, if you get ‘John X Mary verb-PL’ rather than 'John X Mary verb-SG' (just like ‘John X suitcase verb-SG’), this suggests that X is coordinating.	adposition, case marker, NP	argument marking, oblique, conjunction, coordination, case marking, comitative	declension, flagging	Hedvig Skirgård
GB028	Is there a distinction between inclusive and exclusive?	1: present, 0: absent						Is there a pronoun or other marker that explicitly marks the inclusion of an interlocutor? This feature is not restricted to the pronominal system but includes person [indexing](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) as well. If inclusive is marked overtly in either the pronominal system or through verbal marking this is sufficient to trigger a 1 for this feature, even if exclusive has no overt morphological marking.	pronoun, index, verb	clusivity, deixis, person, number	declension, paradigm, indexing	Hannah J. Haynie
GB030	Is there a gender distinction in phonologically independent third person pronouns?	1: present, 0: absent						This question targets the existence of any [gender distinction](https://github.com/grambank/grambank/wiki/Noun-Classes-and-Classifiers) in [phonologically independent third person pronouns](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns). For the purposes of this feature we define third person pronouns as including demonstratives. A masculine/feminine distinction is commonly encoded in third person pronouns, but distinctions in any other noun class/gender categories such as animacy also satisfy the criterion for coding a 1 for this feature. For languages with no third person independent pronouns or no noun class/gender distinctions in third person pronouns, a gender distinction in demonstratives would be sufficient to trigger a 1 here. If pronouns with just inanimate referents (or alternatively, just animate referents) agree with the noun class/gender of the corresponding noun that also suffices for 1. If a language has any gender distinction for third person pronouns but not for demonstratives, this is also sufficient for a 1. For more information on the difference between grammatical gender and social, cultural, and biological constructs or traits, see the [gender wiki page](https://github.com/grambank/grambank/wiki/Grammatical-gender-and-other-notions-of-gender).	pronoun	person, number, gender	declension, paradigm	Hannah J. Haynie
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?	1: present, 0: absent						A dual or unit augmented form must be present throughout the paradigm (i.e. for all person categories) for this feature to be coded as 1. Both [independent pronouns and bound person indexes](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) are to be considered in coding this feature. Inclusive and exclusive categories of first person are not considered separate person categories for the purposes of coding this feature (e.g. if a language has dual number in third, second, and any first person category it is sufficient for triggering a 1). A dual or unit augmented form for a single person category in the paradigm is *not* sufficient for a 1 code.	pronoun	person, number	declension, paradigm	Hannah J. Haynie
GB035	Are there three or more distance contrasts in adnominal demonstratives?	1: present, 0: absent						Demonstratives are modifiers that can modify nouns (of any type and not just a restricted set such as location nouns) to mark position (e.g. deixis or reference within discourse). This doesn't have to be only Euclidean distance (meters, inches etc.), it could also be concerned with near or far in relation to the interlocutors (cf. Wolof). If the system of adnominal demonstratives includes an anaphoric demonstrative this does not count as a third distance.	demonstrative	deixis	declension, paradigm	Jay Latarche and Jeremy Collins
GB036	Do adnominal demonstratives show an elevation distinction?	1: present, 0: absent						Elevation is concerned with how high or how low an object is (in altitude).	demonstrative	deixis	declension, paradigm	Jay Latarche and Jeremy Collins
GB037	Do adnominal demonstratives show a visible-nonvisible distinction?	1: present, 0: absent						Is there a distinction visible vs. non-visible when referencing to items that are the same relative distance? It is not relevant that adnominal demonstratives denoting far away reference often also imply non-visibility.	demonstrative	deixis	declension, paradigm	Jay Latarche and Jeremy Collins
GB038	Are there demonstrative classifiers?	1: present, 0: absent						This question asks whether there is a [classifier system](https://github.com/grambank/grambank/wiki/Noun-classes-and-classifiers) in which classifiers appear with demonstratives to classify the noun. This classifier system can be symmetrical with numeral, possessive or verbal classifiers. It is sufficient if they sometimes occur. Please note, this feature does not concern gender/noun classes and agreement with the noun class, but a separate nominal classifier system.	demonstrative, classifier, NP	deixis, nominal classification, attribution	declension, paradigm, special construction, particle	Jay Latarche and Jeremy Collins
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent						Are there different number markers for a single number category? And is the choice between these markers unpredictable from the marker a noun receives in another number category? For example, are there different plural markers while there is only one (or no) singular marker? Or do two nouns receive different singular markers but the same plural marker? This feature targets bound number markers, free number markers, and clitics.	noun, NP	number	declension	Jay Latarche and Jeremy Collins
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent						Suppletion is a process where a lexeme is changed in such a way that the new form does not resemble the previous when it appears in a different position in the paradigm. An example of this is English _went_ and _go_. In this case, the verb is suppletive for tense. Only so called 'strong suppletion' counts here, 'weak' suppletion is not included.  Only answer 1 if there are more than three examples of strong suppletion. Body parts and kinship terms are a good place to start investigating.	noun	number	suppletion, declension	Hedvig Skirgård
GB042	Is there a productive overt morphological singular marker on nouns?	1: present, 0: absent						This question concerns a bound grammatical marker of singular number on nouns. The marker should occur with an [open set of nouns](https://github.com/grambank/grambank/wiki/Productivity), not with a restricted set. Absence of plural marking does not count for a 1 here (hence the emphasis on ‘overt’ in the feature question). This feature contrasts with [GB316 Is singular number regularly marked in the noun phrase by a phonologically free element?](https://github.com/grambank/Grambank/wiki/GB316) which focuses on the non-bound marking of singular number. For more on bound marking, please see this [page](https://github.com/grambank/Grambank/wiki/%27on-the-verb-noun%27-or-%27by-morphology%27). Bound marking of number on nouns derived from other word classes (such as adjectives or verbs) does not suffice for a 1.  Number marking is often fused with marking of other categories, such as definiteness/specificity or gender/noun class. It is possible for the number marker to also signal other functions and still trigger a 1 code, as long as these other functions do not interfere with the distinctions in number and as long as number marking is productive.	noun	number, gender	declension	Hedvig Skirgård
GB043	Is there a productive morphological dual marker on nouns?	1: present, 0: absent						This question concerns a bound grammatical marker of dual number on nouns. The marker should occur with an [open set of nouns](https://github.com/grambank/grambank/wiki/Productivity), not with a restricted set. This feature contrasts with [GB317 Is dual number regularly marked in the noun phrase by a phonologically free element? ](https://github.com/grambank/Grambank/wiki/GB317) which focuses on the non-bound marking of dual number. For more on bound marking, please see [this page](https://github.com/grambank/Grambank/wiki/%27on-the-verb-noun%27-or-%27by-morphology%27). Bound marking of number on nouns derived from other word classes (such as adjectives or verbs) does not suffice for a 1.  Number marking is often fused with marking of other categories, such as definiteness/specificity or gender/noun class. It is possible for the number marker to also signal other functions and be coded as 1, as long as these other functions do not interfere with the number distinctions and as long as number marking is productive and regular.  It can be difficult to determine how obligatory markers of dual, trial and paucal number are since they can often be replaced by plural number marking. If the grammar writer describes the marker as denoting grammatical number and there are several examples, this suffices.	noun	number	declension	Hedvig Skirgård
GB044	Is there a productive morphological plural marker on nouns?	1: present, 0: absent						"This question concerns a bound grammatical marker of plural number on nouns. This feature contrasts with [GB318	Is plural number regularly marked in the noun phrase by a phonologically free element?](https://github.com/grambank/Grambank/wiki/GB318) which focuses on non-bound marking of plural number. For more on bound marking, please see [this page](https://github.com/grambank/Grambank/wiki/%27on-the-verb-noun%27-or-%27by-morphology%27). Bound marking of number on nouns derived from other word classes (such as adjectives or verbs) does not suffice for a 1. Reduplication (full or partial) does not count for this feature.  The marker should occur with an [open set of nouns](https://github.com/grambank/grambank/wiki/Productivity), not with a restricted set. Classes of animate nouns or human nouns are large and open enough. Kinship terms however are a restricted set since it is very hard to add new members.  Number marking is often fused with marking of other categories, such as definiteness/specificity or gender/noun class. It is possible for the number marker to also signal other functions and be coded as 1, as long as these other functions do not interfere with the number distinctions and as long as number marking is productive and regular."	noun	number, gender	declension	Hedvig Skirgård
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent						This feature aims to cover any marking that marks that the reference contains entities associated with an entity X ('X and other people/things associated with X') instead of indicating additive plural ('several instances of X'). For example, _the King_**_-s_** _went to the market_ means several kings went. An associative plural interpretation of *-s* would be 'the King and his entourage went to the market'. This marking does not need to be bound to the noun. If the additive plural also has this function, this also counts.  The associative marker may be described as a pronoun. Comitative markers do not generally count. The marker should be linked to the person whom the others are associated with, and not the other way around.	noun	number	declension	Hedvig Skirgård
